person,dialogue
rachel,gets up from the sofa and moves to the kitchen but joey blocks her way oh sorry oops sorry
joey,lifts rachel up and moves her behind him so she can walk on hey here you go
rachel,ooh oooh pause rachel is all bahjiggity about joey oh ah pause to monica can i ask you a question
monica,yeah
rachel,and youre gonna want him to eat his heart out so youre gonna have to look fabulous
phoebe,after a short pause i didnt even think about that pause aaargh sexual politics
rachel,hey pheebs imim taking charlie shopping why dont you come and ill help you find something
phoebe,ok thatll be great
joey,oh aint that nice the three of you trying on slutty lingerie together
rachel,thats not what were gonna do
joey,why would you ruin it who was that hurtin
chandler,looking at the picture of the female reproductive system wow fortunately she has a very pretty face
monica,oh i so cant believe this my uterus is an inhospitable environment i was trying so hard to be a good hostess
chandler,oh i cant believe my sperm have low motility because let me tell you when i was growing up they sure seem to be in a hurry to get places
chandler,hi
phoebe,ok this is not about the money ok its about its about corporate greed destroying our hearts and leaving us the hollow shells
rachel,i dont care about any of that
phoebe,well do you care about friendship
rachel,oh
phoebe,i feel really strongly about this rachel please dont use this gift certificate im asking you as a friend
rachel,oh not as a friend phoebe fine i wont use it
phoebe,promise
rachel,i promise
phoebe,thank you she tears up the gift certificate
rachel,but i am going hunting
monica,entering hey honey i missed you today
chandler,oh yeah
rachel,okay
joey,all right turn around i got to get a look at this thing
rachel,oh
rachel,ow
joey,sorry
rachel,well this is romantic
joey,im sorry he stands up this never happened to me before im an expert at taking off bras i can do it with one hand i can do it with my eyes closed one time i just looked at one and it popped open i blame your bra
rachel,its a standard issue bra clasp
joey,then i blame you yeah thats right you threw me off with all your slapping
rachel,ok well well im really im sorry about that joey but do you think that maybe on some level you dont want to take off my bra
joey,contemplates for a few moments what rachel just said nah i dont have another level
chandler,hold on there is something different
monica,very good gives him the keys what do you need it for anyway
joey,oh well the powerball lottery is upto  million and they dont sell tickets here in new york so
rachel,oh so youre driving up to connecticut
joey,hesitates for a momentyeah connecticutnot west virginia
monica,hey maybe ill drive you up there id like to buy some tickets myself
joey,uh
monica,yeah with chandler not getting paid we could really use  million dollars
chandler,yeah because if i was at my old job wed say  million no thank you
phoebe,hey will you get me tickets too
rachel,yeah me too oh i have an idea why dont we all pitch in  bucks well pool our money together and then if we win well split it
monica,oh honeyi cant i was just telling these guys that things are crazy at the restaurant
chandler,are you really that busy
monica,yeah im sorry i really am
chandler,oh thats okill just try and reschedule on the phone hi this is chandler bing i made a reservation there and i need to change it pause oh what do you mean its not refundable can i just come some other time pause oh cant you make an exception
monica,tell them im a chef in a big new york restaurant
phoebe,and tell them that in  weeks i will once again be a masseuse in good standing
chandler,on the phone look this is ridiculous im not paying for that room ok pause oh thank you very much hangs up yeah im going to vermont
ross,oh dont worry about it just use your travel insurance
chandler,i dont have travel insurance
ross,well this is what happens when people live on the edge
monica,why dont you take ross
chandler,hey ready to go
ross,oh yeah let me just finish this
joey,hey ross check this out he tries to spin a basketball on his fingertip but he throws it against a table yeah i cant do that
chandler,what are you doin
ross,have you seen this its a new alumni website for college its cool you can post messages for people let everyone know what youre up to
chandler,great a faster way to tell people that im unemployed and childless 
chandler,how about the dinosaur twins in the other room noone is manning that wall
monica,im on it
chandler,anything
monica,i think i hear curtains closing
phoebe,weve got shoes being kicked off over here
monica,bedsprings unmistakable
chandler,you do realise thats your brother
monica,not until you said it somebody switch chandler makes a clicking sound with his fingers and phoebe runs to the other wall monica returns to chandlers wall wait a minute ross and charlie joey and rachel phoebe and mike were the only people leaving with the same person we came with
chandler,thats not true i came with monica and im leaving with weird al
monica,okay ive had it with the hair jokes tomorrow morning before we leave im going to the salon
chandler,okay buckwheat
chandler,did you see our bank statement could this be right
monica,i knowgod i havent seen my savings take a hit like this since i was a kid and they came up with doublestuffed oreos what happened to all our money
chandler,im not sure what they didbut im inclined to blame 
monica,i guess with you doing the internship were spending more than were bringing in
joey,yeah i didnt throw any of that out
ross,i thought i heard voices hi charlie kisses her hi joey hugs him and oh youre gonna have to introduce me to your new girlfriend laughs im just kidding i know rachel i know he squeezes her hand come please come in come in
rachel,okay well we brought you some wine
ross,oh that is so thoughtful to joey shes a keeper and what did you bring me grabs the bag that charlie brought for joey
joey,uh actually thats
ross,underwear a toothbrush and van halen cd i can use all these things
ross,what fine because i am arent you arent you arent you you see who else is fine
joey,okay listen hey ross why dont you try to relax okay maybe have a drink
ross,you know what that is a very good idea im gonna go make a pitcher of margaritas
phoebe,oh god so adorable look at them sleeping there like angels
rachel,do you think its possible for two friends to fool around and and not have it be a big deal
monica,no i dont think it ever works why
rachel,no reason
monica,no no rachel
rachel,yeah
monica,who do you wanna fool around with
rachel,with high pitched voice nobody forget it
rachel,giggling and whispering maybe
monica,whispering you cant
rachel,whispering why monica gesticulates mumbling something that starts with because seriously i did not understand a word that you said
monica,in the hall
monica,hi
monica,ok
chandler,oh damn it
monica,dont worry after a while hell tune it out
monica,long pause ok
chandler,is that a hint because we love you doctor connelly but we dont think wed want you to be our child dr connelly glares at him wow talking about an inhospitable environment
rachel,hi ok youre ready to go pick up phoebe and go shopping
joey,to charlie alright have a good time they kiss
rachel,not gonna find any clothes in there
ross,entering hey you guys
rachel,hi
ross,guess whos up for keynote speaker at the national paleontology conference
monica,yeah they kiss what dyou wanna do tonight
chandler,oh well maybe we could he sweeps the stuff off the table and wordlessly invites monica to have sex on it
monica,ok trying to turn me on by making a mess know your audience besides tomorrow were doing those fertility tests and until then you need to keep your tadpoles in the tank
chandler,we really need to take those tests
monica,honey weve been trying to have a baby for over a year i think its a good idea to find out if everythings ok just a few routine tests
chandler,but i dont wanna do it in a cup
monica,what is the big deal
chandler,its weird in a doctors office
monica,its not ok to do it in a doctors office but it is ok to do it in a parked car behind a taco bell
chandler,embarrassed i cannot believe ross told you that pause and in my defense it was a wendys
monica,look i dont wanna do this test either but i really do think its a good idea
ross,i went to that tanning place your wife suggested
chandler,was that place the sun
ross,oh and it gets worse turns his side to chandler and monica and pulls up his shirt theres a distinct line across his body where his belly is very tanned and his back is very pale
chandler,oh my god you can do a duet of ebony and ivory all by yourself
monica,how could you mess this up its so easy you go into the booth you count to five and you turn around
ross,looks at her suspiciously how do you count to five
monica,one two three
ross,yells damnit goes to the door to leave rachel just enters sees him and starts laughing
rachel,laughing oooh oh oh
ross,still yelling i know
rachel,oh oh what is up with miss hawaiian tropic
chandler,how was your date with joey
chandler,hey
joey,hey
joey,wheres monica
chandler,oh shes at home putting up decoration for rachels birthday party tonight
joey,and you are not helping
chandler,i try butapparently singing i will survive in a helium voice not helping
chandler,hey
ross,yeah yeah ok sure look can wecan we talk about what happened here last night
chandler,sure just give me a second to get all huffy and weird like you do you believe that who ever
ross,ok youyou really dont know what i am talking about
ross,no thanks
phoebe,you dont wanna win the lottery
ross,in a mocking voiceuhsure i do and i also wanna be king of my own country and find out what happened to amelia earhart
chandler,still on amelia earhart
ross,the woman just vanished
joey,seriously ross you dont want in on this
ross,no do you know what your odds are of winning the lottery ii mean you have a better chance of being struck by lightning  times
chandler,yes but theres six of us so wed only have to get struck by lightning  times
joey,i like those odds
ross,seriously you guys i cant believe youre going to spend  dollars on the lottery i mean thats such a bunch of boohaki
chandler,looking around at the othersill ask to ross boohaki
ross,oh oh we think emma is about to start talking so were trying to be careful about what words we use in front of her
ross,uh dont you think that would be a little weird i mean two guys in a romantic inn
monica,no not if their room has two beds
ross,browsing the brochure i guessit still seems a littleenthusiastically moonlight boat ride
rachel,hey joey is this the bed where olivia lost her virginity
joey,i dont know but one of the extras sure did pause hey listen rach thanks again for coming down to watch my scenes
rachel,oh pleasehoney just the fact that you want me here to support you imoh my godis that christian sandershes so gorgeous
joey,also so gay
rachel,oh in my head hes done some pretty notgaystuff
joey,well at the christmas party him and santa did some definitely gay stuff
joey,oh wish me luck
rachel,ok not that you need it but goodgodis that chase lassiterhes straight right
ross,its actually kinda interesting to find out what people are doing remember andrea rich
chandler,the tall girl who wouldnt sleep with you
ross,uh uh well her internet company went under and she lost an ear in a boating accident
chandler,bet shed sleep with you now
ross,no i already emailed her
chandler,let me see what you wrote about yourself doctor paleontology two kids  pause you split with carol because you have different interests i think you split with carol because youve one very similar interest
ross,you know what im gonna finish this later ok let me just grab my coat
joey,hey he throws the basketball against a table again
ross,he picks up the ball what do you think you learnt how to do in the last two minutes he enters another room
chandler,maybe we finish this for him he sits down on the sofa and he start typing on ross computer also i cloned a dinosaur in my lab shes now my girlfriend i dont care what society says its the best sex ive ever had aaand send
joey,he stops chandler from posting the message no no no what do you cant do that to him
ross,he comes back alright lets go
joey,dude he opens his arms to receive the ball from ross hands
phoebe,you gotta hear this its great its like free porn chandler eagerly rushes over
ross,wehsigh
ross,yeah its just i dont think i can do this
ross,no no theyre moving to the side of the bed where they sit down look i need to talk to joey i mean you guys just broke up before anything more happens between us i need to know hes okay with it
ross,alright im gonna go find them twitches a bit looks down i just need a need a before i can you know gestures standing up they sit and wait for a while grandma grandma grandma he tries to concentrate okay i see you later
phoebe,thats the door hes gone
chandler,and shes turning on the tv and watching miss congeniality
monica,honey if you know it through a wall you know it too well
ross,hey what are you guys doing
phoebe,oh were just were sad to go so were just saying goodbye to the hotel hugs the wall i love you paradise hotel golf resort and spa she walks away from the wall
monica,also hugs the wall yeah we had a great time thank you walks to phoebe
chandler,maybe i should quit and get a job that pays
monica,ohbut youre finally doing something that you love i cant ask you to give that up though itd be nice if the thing that you love wasyknowfinding gold
chandler,you know what you know what i think were making too big a deal out of this ok so we pay our bills a little late this month and maybe next month we cut back on a few things and maybe we start eating out of joeys refridgerator for a change youre chefwhat can you make out of bacon soda and beer
monica,ok worse case scenario iswe borrow some money from my parents
chandler,no were not borrowing money
monica,why not
chandler,because we dont do that we are bings and if theres one thing my father taught me waswell to always knock before going into the poolhousebut the other thing wasnever borrow money
phoebe,well they may be a handful but theyre so cute
phoebe,oh god the last time i babysat them they did the funniest thing
phoebe,thats a thats a long time
phoebe,yeah i know frank i counted them when they were coming out of my area
phoebe,what
phoebe,oh my god frank are you thinking of leaving because i didnt have those triplets so you could just run out on them
phoebe,what you cant separate them thats terrible which one
monica,you wanna fool around with joey
rachel,yeah you know ever since i had that dream about him and cant get it out of my head and whats the big deal people do it all the time
monica,who who do you know that are friends that just fool around
rachel,ok off the top of my head don and janet
monica,who who are they
rachel,i know them from work
monica,both of them
rachel,no one of them
monica,which one
rachel,i dont know what were the names i just said
monica,rachel things can get incredibly complicated
ross,yeah right what was last time he met a submission deadline for an abstract he and charlie laugh then joey starts laughing too without any reason well why are you laughing
joey,just seeing what itd be like to be a paleontologist its fun yeah
ross,professor sherman yeah ive a meeting with him today
ross,yeah well i think i know how to dazzle him
rachel,oh youre not gonna do a magic trick are ya
ross,tsz no he goes to sit down dropping a multicoloured silk streamer off his sleeve
chandler,entering hey guys
ross,wait a minute you guys oh i wanna ask you something ii i may get to speak at this paleontology convention and if i do id love for you guys to come and hear me
chandler,i think i can safely say that we all have family issues work stuff andor are sick
ross,its in barbados
chandler,yeah ok im sure that doctors office cant be worst than on a class trip to the hersheys factory
monica,really embarrassed oh
chandler,oh yeah rachel talks too
joey,sipping red wine from a glass who says that wine has to cost more than milk
joey,heeey
joey,come on in how are ya
joey,can i offer you a drink
joey,uhoh i hade a pretty hectic day at work too today i had to open a door and go looking scared ohhhh
joey,hey if you need a tour guide point to himself
rachel,well it was good until we got back to our apartment and then we were fooling around and he started to put his hand up my leg and i kept slapping it away
chandler,you didnt like that
rachel,well it wasnt just me alright he freaked out too he couldnt even undo my bra
monica,wow really one time he just looked at my bra and it popped open
rachel,i do not know whats wrong with us i mean we have kissed before and thats been great but this time it was leading somewhere and i was very aware of the fact that it was joey touching me
monica,well you guys have been friends forever remember the first time that you kissed ross how weird that was you couldnt stop laughing you got through that
chandler,hey
monica,good morning tiger im making you a nice big breakfast so you can keep up your strength for tonight youre gonna get me good and pregnant
chandler,ive got nowhere to go this morning im unemployed i dont know what im gonna do with my life
monica,well i just lost my erection
chandler,i mean what am i supposed to do with myself
monica,youre supposed to find your passion in life you can be whatever you wanna be now its exciting
joey,entering hey im all packed and ready to go
ross,hey you guys
joey,hey
rachel,shhhhdont say that loud gunther gonna wants to hug mechandler and joey nod in agreement
ross,errgood news everyone we finally found a nanny point to mollythis is molly molly point to chandler chandler point to joey joey
ross,looking at emma oop somebody get a little fussy
joey,you damn right i am ive been waiting for cookies for  minutes
rachel,ok you know what i just gonna take her outside
rachel,wow molly is just great
ross,yeah
chandler,yes bravo on the hot nanny
chandler,no
ross,ok last night after the party i saw rachel kissing that jerk from her office out on your balcony
chandler,our balcony seriously thats so funny because i told monica we should put lights on our balcony and she said
ross,right thats why i came over to talk about humi saw rachel kissing some guy on your balcony
chandler,so are you gonnatalk to her
ross,whywhy should i i mean if she wants to move on thats fine
chandler,you know when thats fine sounds true when someone yells it and spits
ross,no im serious i mean she wants to date people fine i dont care butat least she could have told me you know
chandler,no no no good so youre moving on do you have any idea where youre moving
rachel,yeah so get ready to hear alot of ehmboohaki goshdarnit and brotherpucker
monica,how do you know shes gonna start talking
rachel,well when i talk to her i almost feel like she understands what im saying
chandler,kinda like joey
joey,who wasnt paying attentionwhats that now
monica,god look at all these tickets its so exciting you know i havent won anything since the sixth grade
chandler,pie eating contest
monica,oh you assume because i was heavy thats the only way i could win something
chandler,no i saw a picture of you covered in blueberries
joey,rach i gotta sayif you werent here wondering if these guys were gay i dont know if i could do this
rachel,oh im sorry youre rightim sorry good luck they hug
rachel,watching a television where the scene is shown startled oh
rachel,ssshhhhttthes asking her a question
rachel,no pause or cutyou know thats your call
ross,i think you made it clear you cannot be trusted with the ball inside the house
joey,after ross leaves the room aaand send he hits the send button
rachel,hey how was basketball
joey,oh it was a lot of fun right up until chandler got a finger in the eye
rachel,oh no who did that
joey,chandler hey he goes towards his room but he stops near emmas cot rach whats hugsy doin in the crib with emma he looks puzzled
rachel,she was just crawling around and she found him so i just let her sleep with him thats all right isnt it
joey,still very puzzled oh yeah of course yeah its a stuffed animal you know its for kids not for adults i know that
rachel,joey are you sure i mean i know how much you love him
joey,rachel lets be clear on this ok i do not love hugsy i like him a normal amount
chandler,caresses the wall with his finger bye
ross,okay uhm hey you guys seen joey anywhere
chandler,hes probably in his room with his current girlfriend charlie thats the situation as we know it walks to phoebe and monica
ross,well if you see him could you please tell him im looking for him
chandler,you got it
ross,thanks walks out of the room and starts hugging the wall thank you closes the door
monica,other wall people other wall
ross,knocks on door rach you there joey and rachel both get up from the bed
joey,oh my god its ross what are we gonna do
chandler,yeah thats a lot of cats jolene single are ya
chandler,chandler bing
joey,on phone hey how come youre answering your own phone wheres your crazy assistant
chandler,whats up joe
monica,wow i had no idea you had this much pride
chandler,thats right i do and im your man and im going to get us through this situation even if it means you working twice as hard
phoebe,ohyou dont have to goi have something that will fit you
phoebe,i want you to stay
phoebe,why dont you turn them inside o
phoebe,ill miss you
phoebe,great okill go get the tube top
phoebe,wowmike hanniganyou sure know how to make a girl say hell yeah
phoebe,yeah lets do it lets live together they embrace and mike kisses phoebe
monica,thank you so much for seeing us phoebe has told us such great things about you guys
chandler,so a lot of malfunctioning weewees and hoohoos in this room huh
chandler,i mean you have a lovely home
