joey,yeahhey you just have promise not get yourself thrown out again
rachel,hey that was honest mistake
joey,righthe starts ape heroh god this the mens room feel foolish have you always known you wanted actor inclines his head look mans private parts
rachel,yeah that was awesome day
monica,hey
phoebe,hey
monica,god thats charlie
chandler,shes cheating joey with ross
phoebe,that tart floozy giant
monica,not sure about this
phoebe,yeah youre right this none our business
monica,not sure that its the best way hear everything someone get glass
phoebe,not gon this okay not gon eavesdrop friend
rachel,through wall ooh love barbados
joey,ooh cant believe kissing you kissing rachel
rachel,know her
phoebe,whispering rachel and joey its rachel and joey
phoebe,hey whats all this stuff
monica,theyre brochures from different adoption agencies
phoebe,ooh babies this one cute get this one
monica,thats not really how works
phoebe,how does work
monica,dont know
phoebe,well youre having hard time you should talk friends bill and colleen they adopted kid sure theyd help you
monica,thanks that would great hey honey wouldnt that great
phoebe,hey
phoebe,good see you
monica,frank
monica,goodness theyve all gotten big
joey,enters the room hey you guys what are you doing tomorrow night
chandler,browsing through diary well let see believe yes falling asleep front the
joey,look agent hooked with six tickets great play
chandler,could fall asleep play
phoebe,what
rachel,hiding herself behind the magazine and whispering not not not not not
joey,hey rach
rachel,yeah
joey,maybe you could take charlie shopping
rachel,well
joey,are you kidding rachel loves shop and she has great taste yeah shes the one who taught you dont wear white after labour day and that you always always always have put underwear when youre trying clothes
rachel,uhuh letslets shop
joey,charlie youre gon come back with some very classy clothes aside rachel and some slutty lingerie slutty
phoebe,entering and talking mobile phone great all right bye she hangs pain the ass she looks the others then back the phone thats off right
joey,whats the matter pheebs
phoebe,mikes sister just invited party tonight hes gon there and she was like dont worry asked him hes totally with seeing you now have hell think that totally with seeing him
rachel,which youre not because youve totally hung him
phoebe,exactly
phoebe,bought them off ebay they used belong the late shania twain
rachel,after pause phoebe shania twain still alive
phoebe,then overpaid she goes the bathroom
monica,hey whats this
rachel,its gift certificate this new spa soho
monica,you cant show phoebe this she hates those corporate massage chains
rachel,why now cant get massage there are many things that she disapproves cant eat veal cant wear fur cant hunting
monica,you wan hunting
rachel,well would like have the option
phoebe,coming back from the bathroom whats she sees the gift certificate rachels hands hey rachel
phoebe,you cant there you know how feel about these big massage places theyre putting people like out business
monica,and she wants hunting too
rachel,phoebe come dont wan waste would like throwing away hundred bucks
chandler,amanda get pedicures
monica,amanda actually now its not good time dinner tomorrow night phoebe mouths phoebe and will see you then
phoebe,why why why didnt you just say
monica,well said her coming over now couldnt say twice get this uncontrollable need please people
phoebe,leaving fine fine you would not hold well under torture
monica,and you would
phoebe,did
rachel,absolutely absolutely its just little weird its you and its its just gon take some getting used
joey,well how how can make easier
rachel,lets work from the top down joey nods but then puzzled because does not get just work the bra joe
joey,yeah got
joey,this thing welded shut
joey,monica hey can borrow the porsche
joey,alright
monica,but ehmwhat not
joey,abashed place entertain lady friends
monica,and what else not
joey,even more abashed place eat spaghetti
monica,you guys wan come and eat dinner the restaurant sometime the next few weeks
phoebe,sure
ross,love
monica,well you cant were booked solid for the next month
phoebe,well cant give you massage because licence has been revoked again
ross,phoebe what happened
phoebe,well was accidentyou know its lot oil and sometimes the hand just slips
chandler,monica have got surprise for you pack your bags
phoebe,noyou guys arent supposed get divorced for years
chandler,what taking monica romantic inn vermont shows them brochure
phoebe,goodok good for youtry recapture the magic
chandler,what you say can you get out work
monica,what
phoebe,get over here
rachel,ooh
chandler,wow
monica,her monicaexcitedway too loud god love how thin these walls are
monica,muffled thank you
rachel,hey you know before you said that nothing could happen between what changed
joey,well only said that because ross you know then saw him kissing charlie
rachel,what ross and charlie joey nods wow shes really making her way through the group huh who talk
monica,cant believe this rachel and joey
monica,which one which again
joey,can just say know were doing this for ross and thats cool but was this not what wed doing our first date
rachel,well what would doing
joey,take you out for romantic night some champagne fancy dinner feel you the carriage ride home
rachel,feel
joey,carriage
joey,hey charlie
rachel,hey
rachel,you bet
joey,did you bring little something for ross
joey,thanks
joey,its onewoman play called why dont you like bitter womans journey through life
monica,sounds interesting
ross,yeah does sound interesting mean listen woman complain for two hours dont think gets bett ross starts snoring faking fall asleep
phoebe,know know can drive can vote can work what more these broads want
joey,you guys are gon have great time promise
ross,what how come that you dont have
joey,wish could but just found out that have work really early the next day cant but you know take the extra ticket and invite whoever you want
chandler,browsing through diary lets see who hate
rachel,gets from the sofa and moves the kitchen but joey blocks her way sorry oops sorry
joey,lifts rachel and moves her behind him she can walk hey here you
rachel,ooh oooh pause rachel all bahjiggity about joey pause monica can ask you question
monica,yeah
rachel,and youre gon want him eat his heart out youre gon have look fabulous
phoebe,after short pause didnt even think about that pause aaargh sexual politics
rachel,hey pheebs imim taking charlie shopping why dont you come and ill help you find something
phoebe,thatll great
joey,aint that nice the three you trying slutty lingerie together
rachel,thats not what were gon
joey,why would you ruin who was that hurtin
chandler,looking the picture the female reproductive system wow fortunately she has very pretty face
monica,cant believe this uterus inhospitable environment was trying hard good hostess
chandler,cant believe sperm have low motility because let tell you when was growing they sure seem hurry get places
phoebe,this not about the money its about its about corporate greed destroying our hearts and leaving the hollow shells
rachel,dont care about any that
phoebe,well you care about friendship
phoebe,feel really strongly about this rachel please dont use this gift certificate asking you friend
rachel,not friend phoebe fine wont use
phoebe,promise
rachel,promise
phoebe,thank you she tears the gift certificate
rachel,but going hunting
monica,entering hey honey missed you today
chandler,yeah
rachel,okay
joey,all right turn around got get look this thing
joey,sorry
rachel,well this romantic
joey,sorry stands this never happened before expert taking off bras can with one hand can with eyes closed one time just looked one and popped open blame your bra
rachel,its standard issue bra clasp
joey,then blame you yeah thats right you threw off with all your slapping
rachel,well well really sorry about that joey but you think that maybe some level you dont want take off bra
joey,contemplates for few moments what rachel just said nah dont have another level
chandler,hold there something different
monica,very good gives him the keys what you need for anyway
joey,well the powerball lottery upto million and they dont sell tickets here new york
rachel,youre driving connecticut
joey,hesitates for momentyeah connecticutnot west virginia
monica,hey maybe ill drive you there like buy some tickets myself
monica,yeah with chandler not getting paid could really use million dollars
chandler,yeah because was old job wed say million thank you
phoebe,hey will you get tickets too
rachel,yeah too have idea why dont all pitch bucks well pool our money together and then win well split
monica,honeyi cant was just telling these guys that things are crazy the restaurant
chandler,are you really that busy
monica,yeah sorry really
chandler,thats okill just try and reschedule the phone this chandler bing made reservation there and need change pause what you mean its not refundable can just come some other time pause cant you make exception
monica,tell them chef big new york restaurant
phoebe,and tell them that weeks will once again masseuse good standing
chandler,the phone look this ridiculous not paying for that room pause thank you very much hangs yeah going vermont
ross,dont worry about just use your travel insurance
chandler,dont have travel insurance
ross,well this what happens when people live the edge
monica,why dont you take ross
chandler,hey ready
ross,yeah let just finish this
joey,hey ross check this out tries spin basketball his fingertip but throws against table yeah cant that
chandler,what are you doin
ross,have you seen this its new alumni website for college its cool you can post messages for people let everyone know what youre
chandler,great faster way tell people that unemployed and childless
chandler,how about the dinosaur twins the other room noone manning that wall
chandler,anything
monica,think hear curtains closing
phoebe,weve got shoes being kicked off over here
monica,bedsprings unmistakable
chandler,you realise thats your brother
monica,not until you said somebody switch chandler makes clicking sound with his fingers and phoebe runs the other wall monica returns chandlers wall wait minute ross and charlie joey and rachel phoebe and mike were the only people leaving with the same person came with
chandler,thats not true came with monica and leaving with weird
monica,okay ive had with the hair jokes tomorrow morning before leave going the salon
chandler,okay buckwheat
chandler,did you see our bank statement could this right
monica,knowgod havent seen savings take hit like this since was kid and they came with doublestuffed oreos what happened all our money
chandler,not sure what they didbut inclined blame
monica,guess with you doing the internship were spending more than were bringing
joey,yeah didnt throw any that out
ross,thought heard voices charlie kisses her joey hugs him and youre gon have introduce your new girlfriend laughs just kidding know rachel know squeezes her hand come please come come
rachel,okay well brought you some wine
ross,that thoughtful joey shes keeper and what did you bring grabs the bag that charlie brought for joey
joey,actually thats
ross,underwear toothbrush and van halen can use all these things
ross,what fine because arent you arent you arent you you see who else fine
joey,okay listen hey ross why dont you try relax okay maybe have drink
ross,you know what that very good idea gon make pitcher margaritas
phoebe,god adorable look them sleeping there like angels
rachel,you think its possible for two friends fool around and and not have big deal
monica,dont think ever works why
rachel,reason
monica,rachel
rachel,yeah
monica,who you wan fool around with
rachel,with high pitched voice nobody forget
rachel,giggling and whispering maybe
monica,whispering you cant
rachel,whispering why monica gesticulates mumbling something that starts with because seriously did not understand word that you said
monica,the hall
chandler,damn
monica,dont worry after while hell tune out
monica,long pause
chandler,that hint because love you doctor connelly but dont think wed want you our child connelly glares him wow talking about inhospitable environment
rachel,youre ready pick phoebe and shopping
joey,charlie alright have good time they kiss
rachel,not gon find any clothes there
ross,entering hey you guys
ross,guess whos for keynote speaker the national paleontology conference
monica,yeah they kiss what dyou wan tonight
chandler,well maybe could sweeps the stuff off the table and wordlessly invites monica have sex
monica,trying turn making mess know your audience besides tomorrow were doing those fertility tests and until then you need keep your tadpoles the tank
chandler,really need take those tests
monica,honey weve been trying have baby for over year think its good idea find out everythings just few routine tests
chandler,but dont wan cup
monica,what the big deal
chandler,its weird doctors office
monica,its not doctors office but parked car behind taco bell
chandler,embarrassed can not believe ross told you that pause and defense was wendys
monica,look dont wan this test either but really think its good idea
ross,went that tanning place your wife suggested
chandler,was that place the sun
ross,and gets worse turns his side chandler and monica and pulls his shirt theres distinct line across his body where his belly very tanned and his back very pale
chandler,god you can duet ebony and ivory all yourself
monica,how could you mess this its easy you into the booth you count five and you turn around
ross,looks her suspiciously how you count five
monica,one two three
ross,yells damnit goes the door leave rachel just enters sees him and starts laughing
rachel,laughing oooh
ross,still yelling know
rachel,what with miss hawaiian tropic
chandler,how was your date with joey
chandler,hey
joey,hey
joey,wheres monica
chandler,shes home putting decoration for rachels birthday party tonight
joey,and you are not helping
chandler,try butapparently singing will survive helium voice not helping
chandler,hey
ross,yeah yeah sure look can wecan talk about what happened here last night
chandler,sure just give second get all huffy and weird like you you believe that who ever
ross,youyou really dont know what talking about
ross,thanks
phoebe,you dont wan win the lottery
ross,mocking voiceuhsure and also wan king own country and find out what happened amelia earhart
chandler,still amelia earhart
ross,the woman just vanished
joey,seriously ross you dont want this
ross,you know what your odds are winning the lottery mean you have better chance being struck lightning times
chandler,yes but theres six wed only have get struck lightning times
joey,like those odds
ross,seriously you guys cant believe youre going spend dollars the lottery mean thats such bunch boohaki
chandler,looking around the othersill ask ross boohaki
ross,think emma about start talking were trying careful about what words use front her
ross,dont you think that would little weird mean two guys romantic inn
monica,not their room has two beds
ross,browsing the brochure guessit still seems littleenthusiastically moonlight boat ride
rachel,hey joey this the bed where olivia lost her virginity
joey,dont know but one the extras sure did pause hey listen rach thanks again for coming down watch scenes
rachel,pleasehoney just the fact that you want here support you imoh godis that christian sandershes gorgeous
joey,also gay
rachel,head hes done some pretty notgaystuff
joey,well the christmas party him and santa did some definitely gay stuff
joey,wish luck
rachel,not that you need but goodgodis that chase lassiterhes straight right
ross,its actually kinda interesting find out what people are doing remember andrea rich
chandler,the tall girl who wouldnt sleep with you
ross,well her internet company went under and she lost ear boating accident
chandler,bet shed sleep with you now
ross,already emailed her
chandler,let see what you wrote about yourself doctor paleontology two kids pause you split with carol because you have different interests think you split with carol because youve one very similar interest
ross,you know what gon finish this later let just grab coat
joey,hey throws the basketball against table again
ross,picks the ball what you think you learnt how the last two minutes enters another room
chandler,maybe finish this for him sits down the sofa and start typing ross computer also cloned dinosaur lab shes now girlfriend dont care what society says its the best sex ive ever had aaand send
joey,stops chandler from posting the message what you cant that him
ross,comes back alright lets
joey,dude opens his arms receive the ball from ross hands
phoebe,you got hear this its great its like free porn chandler eagerly rushes over
ross,wehsigh
ross,yeah its just dont think can this
ross,theyre moving the side the bed where they sit down look need talk joey mean you guys just broke before anything more happens between need know hes okay with
ross,alright gon find them twitches bit looks down just need need before can you know gestures standing they sit and wait for while grandma grandma grandma tries concentrate okay see you later
phoebe,thats the door hes gone
chandler,and shes turning the and watching miss congeniality
monica,honey you know through wall you know too well
ross,hey what are you guys doing
phoebe,were just were sad were just saying goodbye the hotel hugs the wall love you paradise hotel golf resort and spa she walks away from the wall
monica,also hugs the wall yeah had great time thank you walks phoebe
chandler,maybe should quit and get job that pays
monica,ohbut youre finally doing something that you love cant ask you give that though itd nice the thing that you love wasyknowfinding gold
chandler,you know what you know what think were making too big deal out this pay our bills little late this month and maybe next month cut back few things and maybe start eating out joeys refridgerator for change youre chefwhat can you make out bacon soda and beer
monica,worse case scenario iswe borrow some money from parents
chandler,were not borrowing money
monica,why not
chandler,because dont that are bings and theres one thing father taught waswell always knock before going into the poolhousebut the other thing wasnever borrow money
phoebe,well they may handful but theyre cute
phoebe,god the last time babysat them they did the funniest thing
phoebe,thats thats long time
phoebe,yeah know frank counted them when they were coming out area
phoebe,what
phoebe,god frank are you thinking leaving because didnt have those triplets you could just run out them
phoebe,what you cant separate them thats terrible which one
monica,you wan fool around with joey
rachel,yeah you know ever since had that dream about him and cant get out head and whats the big deal people all the time
monica,who who you know that are friends that just fool around
rachel,off the top head don and janet
monica,who who are they
rachel,know them from work
monica,both them
rachel,one them
monica,which one
rachel,dont know what were the names just said
monica,rachel things can get incredibly complicated
ross,yeah right what was last time met submission deadline for abstract and charlie laugh then joey starts laughing too without any reason well why are you laughing
joey,just seeing what itd like paleontologist its fun yeah
ross,professor sherman yeah ive meeting with him today
ross,yeah well think know how dazzle him
rachel,youre not gon magic trick are
ross,tsz goes sit down dropping multicoloured silk streamer off his sleeve
chandler,entering hey guys
ross,wait minute you guys wan ask you something may get speak this paleontology convention and love for you guys come and hear
chandler,think can safely say that all have family issues work stuff andor are sick
ross,its barbados
chandler,yeah sure that doctors office cant worst than class trip the hersheys factory
monica,really embarrassed
chandler,yeah rachel talks too
joey,sipping red wine from glass who says that wine has cost more than milk
joey,heeey
joey,come how are
joey,can offer you drink
joey,uhoh hade pretty hectic day work too today had open door and looking scared ohhhh
joey,hey you need tour guide point himself
rachel,well was good until got back our apartment and then were fooling around and started put his hand leg and kept slapping away
chandler,you didnt like that
rachel,well wasnt just alright freaked out too couldnt even undo bra
monica,wow really one time just looked bra and popped open
rachel,not know whats wrong with mean have kissed before and thats been great but this time was leading somewhere and was very aware the fact that was joey touching
monica,well you guys have been friends forever remember the first time that you kissed ross how weird that was you couldnt stop laughing you got through that
chandler,hey
monica,good morning tiger making you nice big breakfast you can keep your strength for tonight youre gon get good and pregnant
chandler,ive got nowhere this morning unemployed dont know what gon with life
monica,well just lost erection
chandler,mean what supposed with myself
monica,youre supposed find your passion life you can whatever you wan now its exciting
joey,entering hey all packed and ready
ross,hey you guys
joey,hey
rachel,shhhhdont say that loud gunther gon wants hug mechandler and joey nod agreement
ross,errgood news everyone finally found nanny point mollythis molly molly point chandler chandler point joey joey
ross,looking emma oop somebody get little fussy
joey,you damn right ive been waiting for cookies for minutes
rachel,you know what just gon take her outside
rachel,wow molly just great
ross,yeah
chandler,yes bravo the hot nanny
ross,last night after the party saw rachel kissing that jerk from her office out your balcony
chandler,our balcony seriously thats funny because told monica should put lights our balcony and she said
ross,right thats why came over talk about humi saw rachel kissing some guy your balcony
chandler,are you gonnatalk her
ross,whywhy should mean she wants move thats fine
chandler,you know when thats fine sounds true when someone yells and spits
ross,serious mean she wants date people fine dont care butat least she could have told you know
chandler,good youre moving you have any idea where youre moving
rachel,yeah get ready hear alot ehmboohaki goshdarnit and brotherpucker
monica,how you know shes gon start talking
rachel,well when talk her almost feel like she understands what saying
chandler,kinda like joey
joey,who wasnt paying attentionwhats that now
monica,god look all these tickets its exciting you know havent won anything since the sixth grade
chandler,pie eating contest
monica,you assume because was heavy thats the only way could win something
chandler,saw picture you covered blueberries
joey,rach got sayif you werent here wondering these guys were gay dont know could this
rachel,sorry youre rightim sorry good luck they hug
rachel,watching television where the scene shown startled
rachel,ssshhhhttthes asking her question
rachel,pause cutyou know thats your call
ross,think you made clear you can not trusted with the ball inside the house
joey,after ross leaves the room aaand send hits the send button
rachel,hey how was basketball
joey,was lot fun right until chandler got finger the eye
rachel,who did that
joey,chandler hey goes towards his room but stops near emmas cot rach whats hugsy doin the crib with emma looks puzzled
rachel,she was just crawling around and she found him just let her sleep with him thats all right isnt
joey,still very puzzled yeah course yeah its stuffed animal you know its for kids not for adults know that
rachel,joey are you sure mean know how much you love him
joey,rachel lets clear this not love hugsy like him normal amount
chandler,caresses the wall with his finger bye
ross,okay uhm hey you guys seen joey anywhere
chandler,hes probably his room with his current girlfriend charlie thats the situation know walks phoebe and monica
ross,well you see him could you please tell him looking for him
chandler,you got
ross,thanks walks out the room and starts hugging the wall thank you closes the door
monica,other wall people other wall
ross,knocks door rach you there joey and rachel both get from the bed
joey,god its ross what are gon
chandler,yeah thats lot cats jolene single are
chandler,chandler bing
joey,phone hey how come youre answering your own phone wheres your crazy assistant
chandler,whats joe
monica,wow had idea you had this much pride
chandler,thats right and your man and going get through this situation even means you working twice hard
phoebe,ohyou dont have goi have something that will fit you
phoebe,want you stay
phoebe,why dont you turn them inside
phoebe,ill miss you
phoebe,great okill get the tube top
phoebe,wowmike hanniganyou sure know how make girl say hell yeah
phoebe,yeah lets lets live together they embrace and mike kisses phoebe
monica,thank you much for seeing phoebe has told such great things about you guys
chandler,lot malfunctioning weewees and hoohoos this room huh
chandler,mean you have lovely home
monica,well appreciate anything you can tell
monica,god
monica,thank you chandler think just had tiny orgasm
chandler,thats great monica can see the book
chandler,you want wash hands first dont you
monica,its its just pretty and white
monica,can adopt you
rachel,all right all right youre right wont anything with joey just thought that joey enters the hall that would two cups tarragon one pound baking soda and one red onion joey enters his apartment
monica,what the hell are you cooking
ross,hey
monica,hey
chandler,hey
ross,hey you guys wont believe what have for work today
chandler,yes but ross you chose career talking about dinosaurs
ross,covering with his hand chandlers face like pretending hes not there monica therere these two professors who are joining department and have meet them here and show them around campus
monica,whats bad about that
ross,its just know theyre gon couple windbags wearing tweed jackets with suede elbow patches
monica,fingering her elbow ross
ross,looking his elbow where theres patch these arent suede
ross,ross geller
chandler,but you come first
rachel,there
joey,bye
rachel,bye see she goes
chandler,sitting down the couch
joey,all right how did the fertility clinic
chandler,not much fun last time apparently you only get porn youre giving sperm sample
ross,soso what did the doctor say
chandler,well theres surrogacy but monica has dreamt her whole life carrying child she has felt that watching surrogate would too hard for her
joey,youre ruling out surrogacy
chandler,yeah
joey,dont have learn what that means
chandler,aside from adoption the only other choice insemination were talking about sperm donors
joey,yeah definitely definitely what you wan see first
joey,looking puzzled and nodding
joey,know yeah
joey,let stop you right there the mets suck you wan see the yankees
joey,which one they all suck
joey,looking puzzled dont think
rachel,the receptionist there
rachel,have massage appointment under rachel green and here gift certificate
rachel,and taped back together
rachel,looking thoughtful thats true thats true can this youre right youre right can this were just gon power through
joey,hey chandler can talk you for second points the hall
rachel,joey need problem solved are powering through which point she grabs his hand and pulls him back their apartment
monica,sees what doing chandler stop not going pop open
chandler,without taking his eyes off the bra you dont know monica just smiles
monica,hey phoebe
phoebe,hey
monica,amanda here yet
monica,sits down good good look sorry for screwing that cuttingherout plan but have new plan chandler agreed call here few minutes with emergency
phoebe,well what kind emergency that gets both out here
chandler,but its all overwhelming dont know where start
monica,hey wait second can help you with this you just need organized can make list your qualifications and categorize jobs industry there could folders and files
chandler,hey this where your hyperorganizedpainintheass stuff pays off
monica,know erection back
joey,gunther who comes over with coffee and muffin thank you
phoebe,joey can have sip your coffee and bite your muffin
joey,okay
joey,pheebs have you ever been bitten hungry italian
phoebe,sorry its just little short cash
joey,you want could loan you some money
ross,thats right emma daddy and uncle joey are going trip today were going conference barbados right
joey,mmhmmh
ross,emma can you say barbados
joey,barbados
ross,got say mean means much that you guys are coming all the way over there hear speech and ive surprise had pull some strings but was able get everyone passes the entire conference thats right gives them their passes this babies will get you into all the paleontology lectures and seminars
rachel,you have anything that would get out them
chandler,yeah ross mean were excited hear the speech but the rest the time were gon wan you know islands stuff
phoebe,think david would probably wan hear few lectures
ross,right because hes scientist
phoebe,because you know hes been minsk for years and gets too much direct sunlight hell die
ross,got yeah well see you guys tomorrow
joey,all right lets hour flight with charlie have couple drinks get under that blanket and what comes naturally
rachel,what you really think she hot
chandler,are you kidding wasnt married she would rejecting right now
rachel,joey
joey,looking molly outsidehow you think shes doing
rachel,the only one that doesnt think she hot ross
ross,nehhi mean shes not unattractive buthotmaking his face saying
rachel,thank you
chandler,now that rachels gone
ross,hot cried myself sleep last night
phoebe,hey mike what the capital peru
phoebe,hmmit starts with and end with hopefully with the middle
ross,dont know mean have plenty opportunity just just now there were some women the coffee house smiled
chandler,dude dont rub face your crazy single life
ross,well and how about this there anthropologist school who totally came during the interdepartmental
chandler,why did get married
joey,hey let ask you guys something have new headshot taken tomorrow right and the photographer said she thinks
phoebe,well depends
phoebe,how far along hes the sex change process
monica,totally disagree think its fine for guy something like that such you actor not that you need
joey,stop you guys stop staring youre freaking out
monica,smilingthat was good day
ross,yelling monicatheyre towing your car theyre towing your car
monica,parked garage morton
ross,pantingtheyre towing car and seeingspots
joey,sounding panickyoh god ross you dont have emma and rachel you dont have emma starts yelling wheres emma who has emma
rachel,joey relax mother picked her two hours ago you were there
joey,not yelling anymorei was
joey,did
rachel,she dropped off casserole
joey,yeah the casserole lady
monica,rossso did you come watch win the big bucks
phoebe,sprang his sleigh his team gave whistle and away they all flew like the down thistle but heard him exclaim ere drove out sight merry christmas all and all goodnight
joey,impressed wow that was great you really wrote that
phoebe,smiling uhhuh
