person,dialogue
chandler,know funny every time say triplets immediately think three hot blonde year olds
monica,thats sweet drink hair
rachel,speaking reading cosmopolitan lucky coffee live sex show
rachel,sorry justi reading emma
rachel,yeah yeah climax way better skin
joey,need someone knows fashion tell looks good
chandler,joey professor
joey,yeah cool shes smart mind totally acrimonious joey mispronounces amonious pause thats used
ross,uhm think less dont think less mean saw someone liked kissed mean people like someone dont kiss thosethose people stupid hate people
ross,yeah know type
joey,hey wan grab bite work wed better get acrimonious getting close
phoebe,entering hey
monica,hey
phoebe,hey guys look got shows pair slippers
rachel,wow love get
joey,little giddy good
phoebe,yeah could rachel asking someone could babysit
monica,could amanda
phoebe,youre right kidding rachel babysitting gas
monica,youre yonkers last name buffomartisis
phoebe,dont hold thy breath
chandler,hello someone line
chandler,hang shes right enters living room hands phone monica someones phone
monica,werent picking amanda
rachel,woowi havent seen worked since dog food commercial thought gon real talking dog
joey,yeah disappointmentpause heydyou want come set tell
rachel,excited serious
joey,yeahhey promise get thrown
rachel,hey honest mistake
joey,righthe starts ape heroh god mens room feel foolish always known wanted actor inclines head look mans private parts
rachel,yeah awesome day
monica,hey
phoebe,hey
monica,god thats charlie
chandler,shes cheating joey ross
phoebe,tart floozy giant
monica,sure
phoebe,yeah youre right none business
monica,sure best way hear everything someone get glass
phoebe,gon okay gon eavesdrop friend
rachel,wall ooh love barbados
joey,ooh cant believe kissing kissing rachel
rachel,know
phoebe,whispering rachel joey rachel joey
phoebe,hey whats stuff
monica,theyre brochures different adoption agencies
phoebe,ooh babies one cute get one
monica,thats really works
phoebe,work
monica,dont know
phoebe,well youre hard time talk friends bill colleen adopted kid sure theyd help
monica,thanks would great hey honey wouldnt great
phoebe,hey
phoebe,good see
monica,frank
monica,goodness theyve gotten big
joey,enters room hey guys tomorrow night
chandler,browsing diary well let see believe yes falling asleep front
joey,look agent hooked six tickets great play
chandler,could fall asleep play
rachel,hiding behind magazine whispering
joey,hey rach
rachel,yeah
joey,maybe could take charlie shopping
rachel,well
joey,kidding rachel loves shop great taste yeah shes one taught dont wear white labour day always always always put underwear youre trying clothes
rachel,uhuh letslets shop
joey,charlie youre gon come back classy clothes aside rachel slutty lingerie slutty
phoebe,entering talking mobile phone great right bye hangs pain ass looks others back phone thats right
joey,whats matter pheebs
phoebe,mikes sister invited party tonight hes gon like dont worry asked hes totally seeing hell think totally seeing
rachel,youre youve totally hung
phoebe,exactly
phoebe,bought ebay used belong late shania twain
rachel,pause phoebe shania twain still alive
phoebe,overpaid goes bathroom
monica,hey whats
rachel,gift certificate new spa soho
monica,cant show phoebe hates corporate massage chains
rachel,cant get massage many things disapproves cant eat veal cant wear fur cant hunting
monica,wan hunting
rachel,well would like option
phoebe,coming back bathroom whats sees gift certificate rachels hands hey rachel
phoebe,cant know feel big massage places theyre putting people like business
monica,wants hunting
rachel,phoebe come dont wan waste would like throwing away hundred bucks
chandler,amanda get pedicures
monica,amanda actually good time dinner tomorrow night phoebe mouths phoebe see
phoebe,didnt say
monica,well said coming couldnt say twice get uncontrollable need please people
phoebe,leaving fine fine would hold well torture
monica,would
rachel,absolutely absolutely little weird gon take getting used
joey,well make easier
rachel,lets work top joey nods puzzled get work bra joe
joey,yeah got
joey,thing welded shut
joey,monica hey borrow porsche
joey,alright
monica,ehmwhat
joey,abashed place entertain lady friends
monica,else
joey,even abashed place eat spaghetti
monica,guys wan come eat dinner restaurant sometime next weeks
phoebe,sure
ross,love
monica,well cant booked solid next month
phoebe,well cant give massage licence revoked
ross,phoebe happened
phoebe,well accidentyou know lot oil sometimes hand slips
chandler,monica got surprise pack bags
phoebe,noyou guys arent supposed get divorced years
chandler,taking monica romantic inn vermont shows brochure
phoebe,goodok good youtry recapture magic
chandler,say get work
phoebe,get
rachel,ooh
chandler,wow
monica,monicaexcitedway loud god love thin walls
monica,muffled thank
rachel,hey know said nothing could happen changed
joey,well said ross know saw kissing charlie
rachel,ross charlie joey nods wow shes really making way group huh talk
monica,cant believe rachel joey
monica,one
joey,say know ross thats cool wed first date
rachel,well would
joey,take romantic night champagne fancy dinner feel carriage ride home
rachel,feel
joey,carriage
joey,hey charlie
rachel,hey
rachel,bet
joey,bring little something ross
joey,thanks
joey,onewoman play called dont like bitter womans journey life
monica,sounds interesting
ross,yeah sound interesting mean listen woman complain two hours dont think gets bett ross starts snoring faking fall asleep
phoebe,know know drive vote work broads want
joey,guys gon great time promise
ross,come dont
joey,wish could found work really early next day cant know take extra ticket invite whoever want
chandler,browsing diary lets see hate
rachel,gets sofa moves kitchen joey blocks way sorry oops sorry
joey,lifts rachel moves behind walk hey
rachel,ooh oooh pause rachel bahjiggity joey pause monica ask question
monica,yeah
rachel,youre gon want eat heart youre gon look fabulous
phoebe,short pause didnt even think pause aaargh sexual politics
rachel,hey pheebs imim taking charlie shopping dont come ill help find something
phoebe,thatll great
joey,aint nice three trying slutty lingerie together
rachel,thats gon
joey,would ruin hurtin
chandler,looking picture female reproductive system wow fortunately pretty face
monica,cant believe uterus inhospitable environment trying hard good hostess
chandler,cant believe sperm low motility let tell growing sure seem hurry get places
phoebe,money corporate greed destroying hearts leaving hollow shells
rachel,dont care
phoebe,well care friendship
phoebe,feel really strongly rachel please dont use gift certificate asking friend
rachel,friend phoebe fine wont use
phoebe,promise
rachel,promise
phoebe,thank tears gift certificate
rachel,going hunting
monica,entering hey honey missed today
chandler,yeah
rachel,okay
joey,right turn around got get look thing
joey,sorry
rachel,well romantic
joey,sorry stands never happened expert taking bras one hand eyes closed one time looked one popped open blame bra
rachel,standard issue bra clasp
joey,blame yeah thats right threw slapping
rachel,well well really sorry joey think maybe level dont want take bra
joey,contemplates moments rachel said nah dont another level
chandler,hold something different
monica,good gives keys need anyway
joey,well powerball lottery upto million dont sell tickets new york
rachel,youre driving connecticut
joey,hesitates momentyeah connecticutnot west virginia
monica,hey maybe ill drive like buy tickets
monica,yeah chandler getting paid could really use million dollars
chandler,yeah old job wed say million thank
phoebe,hey get tickets
rachel,yeah idea dont pitch bucks well pool money together win well split
monica,honeyi cant telling guys things crazy restaurant
chandler,really busy
monica,yeah sorry really
chandler,thats okill try reschedule phone chandler bing made reservation need change pause mean refundable come time pause cant make exception
monica,tell chef big new york restaurant
phoebe,tell weeks masseuse good standing
chandler,phone look ridiculous paying room pause thank much hangs yeah going vermont
ross,dont worry use travel insurance
chandler,dont travel insurance
ross,well happens people live edge
monica,dont take ross
chandler,hey ready
ross,yeah let finish
joey,hey ross check tries spin basketball fingertip throws table yeah cant
chandler,doin
ross,seen new alumni website college cool post messages people let everyone know youre
chandler,great faster way tell people unemployed childless
chandler,dinosaur twins room noone manning wall
chandler,anything
monica,think hear curtains closing
phoebe,weve got shoes kicked
monica,bedsprings unmistakable
chandler,realise thats brother
monica,said somebody switch chandler makes clicking sound fingers phoebe runs wall monica returns chandlers wall wait minute ross charlie joey rachel phoebe mike people leaving person came
chandler,thats true came monica leaving weird
monica,okay ive hair jokes tomorrow morning leave going salon
chandler,okay buckwheat
chandler,see bank statement could right
monica,knowgod havent seen savings take hit like since kid came doublestuffed oreos happened money
chandler,sure didbut inclined blame
monica,guess internship spending bringing
joey,yeah didnt throw
ross,thought heard voices charlie kisses joey hugs youre gon introduce new girlfriend laughs kidding know rachel know squeezes hand come please come come
rachel,okay well brought wine
ross,thoughtful joey shes keeper bring grabs bag charlie brought joey
joey,actually thats
ross,underwear toothbrush van halen use things
ross,fine arent arent arent see else fine
joey,okay listen hey ross dont try relax okay maybe drink
ross,know good idea gon make pitcher margaritas
phoebe,god adorable look sleeping like angels
rachel,think possible two friends fool around big deal
monica,dont think ever works
rachel,reason
monica,rachel
rachel,yeah
monica,wan fool around
rachel,high pitched voice nobody forget
rachel,giggling whispering maybe
monica,whispering cant
rachel,whispering monica gesticulates mumbling something starts seriously understand word said
monica,hall
chandler,damn
monica,dont worry hell tune
monica,long pause
chandler,hint love doctor connelly dont think wed want child connelly glares wow talking inhospitable environment
rachel,youre ready pick phoebe shopping
joey,charlie alright good time kiss
rachel,gon find clothes
ross,entering hey guys
ross,guess whos keynote speaker national paleontology conference
monica,yeah kiss dyou wan tonight
chandler,well maybe could sweeps stuff table wordlessly invites monica sex
monica,trying turn making mess know audience besides tomorrow fertility tests need keep tadpoles tank
chandler,really need take tests
monica,honey weve trying baby year think good idea find everythings routine tests
chandler,dont wan cup
monica,big deal
chandler,weird doctors office
monica,doctors office parked car behind taco bell
chandler,embarrassed believe ross told pause defense wendys
monica,look dont wan test either really think good idea
ross,went tanning place wife suggested
chandler,place sun
ross,gets worse turns side chandler monica pulls shirt theres distinct line across body belly tanned back pale
chandler,god duet ebony ivory
monica,could mess easy booth count five turn around
ross,looks suspiciously count five
monica,one two three
ross,yells damnit goes door leave rachel enters sees starts laughing
rachel,laughing oooh
ross,still yelling know
rachel,miss hawaiian tropic
chandler,date joey
chandler,hey
joey,hey
joey,wheres monica
chandler,shes home putting decoration rachels birthday party tonight
joey,helping
chandler,try butapparently singing survive helium voice helping
chandler,hey
ross,yeah yeah sure look wecan talk happened last night
chandler,sure give second get huffy weird like believe ever
ross,youyou really dont know talking
ross,thanks
phoebe,dont wan win lottery
ross,mocking voiceuhsure also wan king country find happened amelia earhart
chandler,still amelia earhart
ross,woman vanished
joey,seriously ross dont want
ross,know odds winning lottery mean better chance struck lightning times
chandler,yes theres six wed get struck lightning times
joey,like odds
ross,seriously guys cant believe youre going spend dollars lottery mean thats bunch boohaki
chandler,looking around othersill ask ross boohaki
ross,think emma start talking trying careful words use front
ross,dont think would little weird mean two guys romantic inn
monica,room two beds
ross,browsing brochure guessit still seems littleenthusiastically moonlight boat ride
rachel,hey joey bed olivia lost virginity
joey,dont know one extras sure pause hey listen rach thanks coming watch scenes
rachel,pleasehoney fact want support imoh godis christian sandershes gorgeous
joey,also gay
rachel,head hes done pretty notgaystuff
joey,well christmas party santa definitely gay stuff
joey,wish luck
rachel,need goodgodis chase lassiterhes straight right
ross,actually kinda interesting find people remember andrea rich
chandler,tall girl wouldnt sleep
ross,well internet company went lost ear boating accident
chandler,bet shed sleep
ross,already emailed
chandler,let see wrote doctor paleontology two kids pause split carol different interests think split carol youve one similar interest
ross,know gon finish later let grab coat
joey,hey throws basketball table
ross,picks ball think learnt last two minutes enters another room
chandler,maybe finish sits sofa start typing ross computer also cloned dinosaur lab shes girlfriend dont care society says best sex ive ever aaand send
joey,stops chandler posting message cant
ross,comes back alright lets
joey,dude opens arms receive ball ross hands
phoebe,got hear great like free porn chandler eagerly rushes
ross,wehsigh
ross,yeah dont think
ross,theyre moving side bed sit look need talk joey mean guys broke anything happens need know hes okay
ross,alright gon find twitches bit looks need need know gestures standing sit wait grandma grandma grandma tries concentrate okay see later
phoebe,thats door hes gone
chandler,shes turning watching miss congeniality
monica,honey know wall know well
ross,hey guys
phoebe,sad saying goodbye hotel hugs wall love paradise hotel golf resort spa walks away wall
monica,also hugs wall yeah great time thank walks phoebe
chandler,maybe quit get job pays
monica,ohbut youre finally something love cant ask give though itd nice thing love wasyknowfinding gold
chandler,know know think making big deal pay bills little late month maybe next month cut back things maybe start eating joeys refridgerator change youre chefwhat make bacon soda beer
monica,worse case scenario iswe borrow money parents
chandler,borrowing money
chandler,dont bings theres one thing father taught waswell always knock going poolhousebut thing wasnever borrow money
phoebe,well may handful theyre cute
phoebe,god last time babysat funniest thing
phoebe,thats thats long time
phoebe,yeah know frank counted coming area
phoebe,god frank thinking leaving didnt triplets could run
phoebe,cant separate thats terrible one
monica,wan fool around joey
rachel,yeah know ever since dream cant get head whats big deal people time
monica,know friends fool around
rachel,top head janet
rachel,know work
rachel,one
monica,one
rachel,dont know names said
monica,rachel things get incredibly complicated
ross,yeah right last time met submission deadline abstract charlie laugh joey starts laughing without reason well laughing
joey,seeing itd like paleontologist fun yeah
ross,professor sherman yeah ive meeting today
ross,yeah well think know dazzle
rachel,youre gon magic trick
ross,tsz goes sit dropping multicoloured silk streamer sleeve
chandler,entering hey guys
ross,wait minute guys wan ask something may get speak paleontology convention love guys come hear
chandler,think safely say family issues work stuff andor sick
ross,barbados
chandler,yeah sure doctors office cant worst class trip hersheys factory
monica,really embarrassed
chandler,yeah rachel talks
joey,sipping red wine glass says wine cost milk
joey,heeey
joey,come
joey,offer drink
joey,uhoh hade pretty hectic day work today open door looking scared ohhhh
joey,hey need tour guide point
rachel,well good got back apartment fooling around started put hand leg kept slapping away
chandler,didnt like
rachel,well wasnt alright freaked couldnt even undo bra
monica,wow really one time looked bra popped open
rachel,know whats wrong mean kissed thats great time leading somewhere aware fact joey touching
monica,well guys friends forever remember first time kissed ross weird couldnt stop laughing got
chandler,hey
monica,good morning tiger making nice big breakfast keep strength tonight youre gon get good pregnant
chandler,ive got nowhere morning unemployed dont know gon life
monica,well lost erection
chandler,mean supposed
monica,youre supposed find passion life whatever wan exciting
joey,entering hey packed ready
ross,hey guys
joey,hey
rachel,shhhhdont say loud gunther gon wants hug mechandler joey nod agreement
ross,errgood news everyone finally found nanny point mollythis molly molly point chandler chandler point joey joey
ross,looking emma oop somebody get little fussy
joey,damn right ive waiting cookies minutes
rachel,know gon take outside
rachel,wow molly great
ross,yeah
chandler,yes bravo hot nanny
ross,last night party saw rachel kissing jerk office balcony
chandler,balcony seriously thats funny told monica put lights balcony said
ross,right thats came talk humi saw rachel kissing guy balcony
chandler,gonnatalk
ross,whywhy mean wants move thats fine
chandler,know thats fine sounds true someone yells spits
ross,serious mean wants date people fine dont care butat least could told know
chandler,good youre moving idea youre moving
rachel,yeah get ready hear alot ehmboohaki goshdarnit brotherpucker
monica,know shes gon start talking
rachel,well talk almost feel like understands saying
chandler,kinda like joey
joey,wasnt paying attentionwhats
monica,god look tickets exciting know havent anything since sixth grade
chandler,pie eating contest
monica,assume heavy thats way could win something
chandler,saw picture covered blueberries
joey,rach got sayif werent wondering guys gay dont know could
rachel,sorry youre rightim sorry good luck hug
rachel,watching television scene shown startled
rachel,ssshhhhttthes asking question
rachel,pause cutyou know thats call
ross,think made clear trusted ball inside house
joey,ross leaves room aaand send hits send button
rachel,hey basketball
joey,lot fun right chandler got finger eye
joey,chandler hey goes towards room stops near emmas cot rach whats hugsy doin crib emma looks puzzled
rachel,crawling around found let sleep thats right isnt
joey,still puzzled yeah course yeah stuffed animal know kids adults know
rachel,joey sure mean know much love
joey,rachel lets clear love hugsy like normal amount
chandler,caresses wall finger bye
ross,okay uhm hey guys seen joey anywhere
chandler,hes probably room current girlfriend charlie thats situation know walks phoebe monica
ross,well see could please tell looking
chandler,got
ross,thanks walks room starts hugging wall thank closes door
monica,wall people wall
ross,knocks door rach joey rachel get bed
joey,god ross gon
chandler,yeah thats lot cats jolene single
chandler,chandler bing
joey,phone hey come youre answering phone wheres crazy assistant
chandler,whats joe
monica,wow idea much pride
chandler,thats right man going get situation even means working twice hard
phoebe,ohyou dont goi something fit
phoebe,want stay
phoebe,dont turn inside
phoebe,ill miss
phoebe,great okill get tube top
phoebe,wowmike hanniganyou sure know make girl say hell yeah
phoebe,yeah lets lets live together embrace mike kisses phoebe
monica,thank much seeing phoebe told great things guys
chandler,lot malfunctioning weewees hoohoos room huh
chandler,mean lovely home
monica,well appreciate anything tell
monica,god
monica,thank chandler think tiny orgasm
chandler,thats great monica see book
chandler,want wash hands first dont
monica,pretty white
monica,adopt
rachel,right right youre right wont anything joey thought joey enters hall would two cups tarragon one pound baking soda one red onion joey enters apartment
monica,hell cooking
ross,hey
monica,hey
chandler,hey
ross,hey guys wont believe work today
chandler,yes ross chose career talking dinosaurs
ross,covering hand chandlers face like pretending hes monica therere two professors joining department meet show around campus
monica,whats bad
ross,know theyre gon couple windbags wearing tweed jackets suede elbow patches
monica,fingering elbow ross
ross,looking elbow theres patch arent suede
ross,ross geller
chandler,come first
joey,bye
rachel,bye see goes
chandler,sitting couch
joey,right fertility clinic
chandler,much fun last time apparently get porn youre giving sperm sample
ross,soso doctor say
chandler,well theres surrogacy monica dreamt whole life carrying child felt watching surrogate would hard
joey,youre ruling surrogacy
chandler,yeah
joey,dont learn means
chandler,aside adoption choice insemination talking sperm donors
joey,yeah definitely definitely wan see first
joey,looking puzzled nodding
joey,know yeah
joey,let stop right mets suck wan see yankees
joey,one suck
joey,looking puzzled dont think
rachel,receptionist
rachel,massage appointment rachel green gift certificate
rachel,taped back together
rachel,looking thoughtful thats true thats true youre right youre right gon power
joey,hey chandler talk second points hall
rachel,joey need problem solved powering point grabs hand pulls back apartment
monica,sees chandler stop going pop open
chandler,without taking eyes bra dont know monica smiles
monica,hey phoebe
phoebe,hey
monica,amanda yet
monica,sits good good look sorry screwing cuttingherout plan new plan chandler agreed call minutes emergency
phoebe,well kind emergency gets
chandler,overwhelming dont know start
monica,hey wait second help need organized make list qualifications categorize jobs industry could folders files
chandler,hey hyperorganizedpainintheass stuff pays
monica,know erection back
joey,gunther comes coffee muffin thank
phoebe,joey sip coffee bite muffin
joey,okay
joey,pheebs ever bitten hungry italian
phoebe,sorry little short cash
joey,want could loan money
ross,thats right emma daddy uncle joey going trip today going conference barbados right
joey,mmhmmh
ross,emma say barbados
joey,barbados
ross,got say mean means much guys coming way hear speech ive surprise pull strings able get everyone passes entire conference thats right gives passes babies get paleontology lectures seminars
rachel,anything would get
chandler,yeah ross mean excited hear speech rest time gon wan know islands stuff
phoebe,think david would probably wan hear lectures
ross,right hes scientist
phoebe,know hes minsk years gets much direct sunlight hell die
ross,got yeah well see guys tomorrow
joey,right lets hour flight charlie couple drinks get blanket comes naturally
rachel,really think hot
chandler,kidding wasnt married would rejecting right
rachel,joey
joey,looking molly outsidehow think shes
rachel,one doesnt think hot ross
ross,nehhi mean shes unattractive buthotmaking face saying
rachel,thank
chandler,rachels gone
ross,hot cried sleep last night
phoebe,hey mike capital peru
phoebe,hmmit starts end hopefully middle
ross,dont know mean plenty opportunity women coffee house smiled
chandler,dude dont rub face crazy single life
ross,well anthropologist school totally came interdepartmental
chandler,get married
joey,hey let ask guys something new headshot taken tomorrow right photographer said thinks
phoebe,well depends
phoebe,far along hes sex change process
monica,totally disagree think fine guy something like actor need
joey,stop guys stop staring youre freaking
monica,smilingthat good day
ross,yelling monicatheyre towing car theyre towing car
monica,parked garage morton
ross,pantingtheyre towing car seeingspots
joey,sounding panickyoh god ross dont emma rachel dont emma starts yelling wheres emma emma
rachel,joey relax mother picked two hours ago
joey,yelling anymorei
rachel,dropped casserole
joey,yeah casserole lady
monica,rossso come watch win big bucks
phoebe,sprang sleigh team gave whistle away flew like thistle heard exclaim ere drove sight merry christmas goodnight
joey,impressed wow great really wrote
phoebe,smiling uhhuh
chandler,coming bedroom say goodbye elves tulsa
monica,cant believe youre gon christmas
monica,hey hon would help get plates
chandler,yeah hey heres idea dont use wedding china today
monica,think save china something really speciallike queen england comes
chandler,honey keeps cancelling ustake hint
monica,something gets broken theyre expensive
chandler,point never use
monica,okbut something gets broken queen comes
phoebe,hey ross glad someones could zip
ross,sure
phoebe,thank believe one apartment offered
ross,people shakes head sit dressed
phoebe,umm mikes picking date
ross,yea going getting serious
phoebe,dunno dunno know mean like ready take grade loins meat market
ross,know really admire whole dating attitude healthy always like moving fast moving slow wheres going
phoebe,yea know bit drama queen
monica,thank
monica,thank youshe looks customer waiting compliment havent said anything
monica,ohpleaseii welcome criticism
monica,musician
phoebe,playing guitar singing theres country called argentinaaaa place ive never seeeeen told fifty pesos buy human spleen humaaan spleeeeen
phoebe,well said customers lined street entertain
monica,great
phoebe,yeah really great know people must seen play requesting bunch songs yeah suck shut home
monica,listen phoebe
chandler,picking telephone answering frog throat hello clears throat still frog throat speaks hello
monica,apartment screaming love new job
chandler,honey youre screaming
monica,bet ass best first day ever kitchen twice big allessandros
chandler,yawning thats great
monica,yeah aaand clean health department clean monica clean
phoebe,hey guys couldnt get reservation night birthday dinner thursday night instead
joey,thursday thats halloween
joey,spooky thats
ross,mike coming dinner
phoebe,first birthday boyfriend work uch get mad think little soon show true colors
rachel,right emma loves
joey,wouldnt hes wonderful person
monica,hey phoebe doin feelin better
phoebe,breaking sucks really miss mike
chandler,sorry
phoebe,god tried everything make feel better even tried writing song cant think anything rhymes aarrgghh pause hey monica really need help getting
chandler,youre gon need help
phoebe,well get point know ready hear cruel mocking jokes mike gon come
chandler,good cause ive already thought ive thought fourth goes towards counter
phoebe,mean know right thing know mike never wants get married shouldnt relationship future pretty soon gon miss much gon wan see stop
monica,got
phoebe,pause unless maybe crazy alright know future doesnt mean still cant fun know forget said
rachel,jujujust stay calm calm knows hanging together right nonchalant joey like stands attention chest forward hands sides looking ceiling lips pouted thats nonchalant
joey,idea means
rachel,okay hide
ross,knocks rach
rachel,coming try bed try bed
rachel,theres room bed looks around cant find joey anymore
ross,everything okay
rachel,yeah still looking see joey went opens door
ross,hey
joey,okay wanted always together
chandler,braid others hair ride horseback beach
joey,get home tomorrow night gon wizards knicks game courtside
chandler,courtside god
joey,yeah maybe michael jordan dive ball break jaw knee
chandler,cool ill let monica know
monica,hello
chandler,joey called hes got courtside knicks tickets tomorrow night
monica,really tomorrow nights one get restaurant game wont another night together week
chandler,butt courtside cheerleaders gon right mouths last words monica hear thats way convince
monica,look dont want one wives says cant game spend time realize
phoebe,godwere really going move together
phoebe,ive always wanted live guypick socks put toilet seat sex anymore gon fun
monica,hey joey
joey,hey
monica,listeni need know ask youwill never get back chandler
joey,lying said havent thought myselfchandler best friendit would wrong goodhe winksbut wrong
joey,awwwi dont know monicayou knowermlending friends money always mistake
monica,chandler lent money
joey,think would tell mistake
monica,come oni need rent andand bills
joey,ohhow much
chandler,hey must owen
chandler,chandler hey scouts
chandler,yeah fact father denmother
chandler,know use compass
chandler,thats fantastic
chandler,love got get back talking parents theyre telling adopted
chandler,got nothing
ross,first batch margaritas great second batch gooooood
rachel,well maybe next batch could get
ross,thats thats thats nice
ross,big deal mean werent know gym working
monica,chandler gon introduce
chandler,monica think blurry shapes
ross,wrote one minute
monica,chandler twenty bucks says theyre married within month
ross,hitting monica suitcase charlie probably get going know got lot ground cover
ross,dont think
ross,well hes obviously late rule class cant come time dont come pause option many students use pause shall
ross,know hes big boy sure hell find
joey,enough said man upstairs
chandler,stopping joey ahha
ross,feel
chandler,wish easier way child dont think one
joey,come ross good guy step
ross,puzzled
ross,looking astonished going give ben
ross,data receiving mri scans dna testing fossils staggering
ross,reading notepad mean weve accepting leakeys dates given theyre even hundred thousand years throw assumptions know right trash throws notepad waste bin soso saying picks notepad back waste bin repercussions could huge mean palaeontology ifif think evolutionary biology genetics geology mean truly mind boggles
ross,thats want
phoebe,ill take
rachel,imitating receptionists tone glass doors
rachel,alrighty
phoebe,talk like theyre around sees rachel listen someone fill
phoebe,woman cant know work shes friend mine made big stink awful massage chains
phoebe,cause good money doesnt change fact evil blood sucking corporate machine
phoebe,watching around whispering listening
joey,ross
monica,well think mike chandler car accident
phoebe,makes face kidding love
monica,beaming yeah yeah name chandler
phoebe,musty
monica,friends
monica,ehm friends
monica,phoebe going cut
phoebe,learned never borrow money friends thats richard dreyfuss dont speak anymore
joey,hey wan extra show
phoebe,could
joey,yeah yeah pay pretty good could long need
phoebe,god gon
joey,okay got tell isnt glamorous exciting think
phoebe,really
joey,awesome
ross,guys
phoebe,wow hey dressed
ross,rachel bringing emma ralph lauren today introduce everyone doesnt look cute
