person,dialogue
rachel,"phoebe, come on, i don't wanna waste it! it would be like throwing away a hundred bucks!"
chandler,(to amanda) i get pedicures!
monica,"hi amanda! actually now... it’s... is not a good time. dinner tomorrow night? (phoebe mouths 'no') ok, phoebe and i will see you then!"
phoebe,"why, why, why didn’t you just say no!"
monica,"well, i said 'no' to her coming over now! i couldn’t say 'no' twice! i get this uncontrollable need to please people!"
phoebe,"(leaving) fine, fine! you would not hold up well under torture!"
monica,and you would?
phoebe,i did!
rachel,"absolutely! absolutely. i d... it’s just a little weird, it’s you, and it’s me, it's just gonna take some getting used to."
joey,"ok. well, how, how can we make it easier?"
rachel,"ok, let’s work from the top down! (joey nods, but then puzzled because he does not get it) just work the bra, joe!"
joey,"ok, yeah, got it."
joey,this thing welded shut?!
joey,"monica, hey, can i borrow the porsche?"
monica,ok.
joey,alright!
monica,but ehm...what is it not?
joey,(abashed) a place to entertain my lady friends.
monica,and what else is it not?
joey,(even more abashed) a place to eat spaghetti.
monica,"so, do you guys wanna come and eat dinner at the restaurant sometime in the next few weeks?"
phoebe,sure!
ross,i'd love to!
monica,well you can't! we're booked solid for the next month!
phoebe,"well, i can't give you a massage, because my licence has been revoked again!"
ross,"phoebe, what happened?"
phoebe,"well, it was an accident...you know, it's a lot of oil and sometimes the hand just slips!"
chandler,(to monica) have i got a surprise for you? pack your bags!
phoebe,oh no!you guys aren't supposed to get divorced for 7 years!
chandler,"what? no, i'm taking monica to a romantic inn in vermont (shows them a brochure)!"
phoebe,"oh, good!ok, good for you!try to recapture the magic!"
chandler,"so, what do you say? can you get out of work?"
monica,what?
phoebe,get over here!
rachel,ooh...
chandler,wow!
monica,"(in her monica-excited-way... too loud!) oh my god, i love how thin these walls are!"
monica,(muffled) thank you.
rachel,"hey, you know, before you said that nothing could happen between us? what changed?"
joey,"well, i only said that because of ross, you know. then i saw him kissing charlie..."
rachel,"what? ross and charlie? (joey nods) wow! she's really making her way through the group, huh? ah, who am i to talk?"
monica,i can't believe this. rachel and joey?
monica,which one is which again?
joey,"ah, can i just say i know we're doing this for ross, and that's cool, but if it was up to me, this is not what we'd be doing on our first date."
rachel,"well, what would we be doing?"
joey,"i'd take you out for a romantic night. some champagne, fancy dinner, feel you up on the carriage ride home..."
rachel,feel me up?
joey,in a carriage!
joey,"hey, charlie!"
rachel,hey.
rachel,"oh, you bet."
joey,"so, did you bring a little something for ross?"
joey,"oh. oh, thanks."
joey,"it's a one-woman play called ""why don't you like me: a bitter woman's journey through life""."
monica,it sounds interesting!
ross,"yeah, it does sound interesting, i mean, to listen to a woman complain for two hours, i don't think it gets bett... (ross starts snoring, faking to fall asleep)"
phoebe,"i know, i know, we can drive, we can vote, we can work, what more do these broads want?"
joey,"you guys are gonna have a great time, i promise!"
ross,what? how come that you don't have to go!
joey,"i wish i could but i just found out that i have to be at work really early the next day, so i can't go, but, you know, take the extra ticket and invite whoever you want."
chandler,"(browsing through a diary) uh, let's see, who do i hate?"
rachel,"(gets up from the sofa and moves to the kitchen but joey blocks her way) oh, sorry... oops, sorry."
joey,"(lifts rachel up and moves her behind him so she can walk on) hey, here you go."
rachel,"ooh... oooh... (pause) (rachel is all bah-jiggity about joey) oh, ah... (pause) (to monica) can i ask you a question?"
monica,yeah.
rachel,and you're gonna want him to eat his heart out so you're gonna have to look fabulous!
phoebe,"(after a short pause) i didn't even think about that! (pause) aaargh, sexual politics!!"
rachel,"hey pheebs, i'm-i'm taking charlie shopping, why don't you come and i'll help you find something."
phoebe,"ok, that'll be great!"
joey,"oh, ain't that nice? the three of you trying on slutty lingerie together."
rachel,that's not what we're gonna do!
joey,"why would you ruin it, who was that hurtin'?"
chandler,(looking at the picture of the female reproductive system) wow! fortunately she has a very pretty face!
monica,"oh, i so can't believe this! my uterus is an inhospitable environment? i was trying so hard to be a good hostess!"
chandler,"oh, i can't believe my sperm have low motility because, let me tell you, when i was growing up they sure seem to be in a hurry to get places!!"
chandler,hi.
phoebe,"ok, this is not about the money, ok? it's about... it's about corporate greed destroying our hearts and leaving us... the hollow shells."
rachel,i don't care about any of that!!
phoebe,"well, do you care about friendship?"
rachel,oh!
phoebe,"i feel really strongly about this, rachel. please, don't use this gift certificate. i'm asking you as a friend."
rachel,"oh, not as a friend, phoebe!! fine, i won't use it!"
phoebe,promise?
rachel,i promise.
phoebe,thank you. (she tears up the gift certificate)
rachel,but i am going hunting!!
monica,(entering) hey honey! i missed you today!
chandler,"oh, yeah?"
rachel,okay.
joey,"all right, turn around, i got to get a look at this thing."
rachel,oh!
rachel,ow!
joey,sorry!
rachel,well this is romantic!
joey,"i'm sorry! (he stands up) this never happened to me before! i'm an expert at taking off bras! i can do it with one hand! i can do it with my eyes closed! one time i just looked at one, and it popped open! i blame your bra!"
rachel,it’s a standard issue bra clasp!
joey,then i blame you! yeah! that's right! you threw me off with all your slapping!
rachel,"ok well, well i'm really, i'm sorry about that joey, but do you think that maybe on some level, you don't want to take off my bra?"
joey,(contemplates for a few moments what rachel just said) nah! i don't have another level!!
chandler,hold on! there is something different.
monica,very good! (gives him the keys) what do you need it for anyway?
joey,"oh well, the powerball lottery is upto 300 million and they don't sell tickets here in new york, so..."
rachel,oh! so you're driving up to connecticut?
joey,(hesitates for a moment)yeah connecticut...not west virginia.
monica,"hey, maybe i'll drive you up there! i'd like to buy some tickets myself!"
joey,uh!
monica,"yeah with chandler not getting paid, we could really use 300 million dollars."
chandler,"yeah, because if i was at my old job we'd say 300 million? no thank you!"
phoebe,hey will you get me tickets too?
rachel,"yeah me too. oh! i have an idea. why don't we all pitch in 50 bucks, we'll pool our money together and then if we win, we'll split it!"
monica,"oh, honey!i can't. i was just telling these guys that things are crazy at the restaurant!"
chandler,are you really that busy?
monica,"yeah, i'm sorry. i really am."
chandler,"oh, that's ok.i'll just try and reschedule. (on the phone) ""hi, this is chandler bing. i made a reservation there and i need to change it (pause) oh, what do you mean it's not refundable? can i just come some other time? (pause) oh, can't you make an exception?"""
monica,tell them i'm a chef in a big new york restaurant!
phoebe,and tell them that in 2 weeks i will once again be a masseuse in good standing!
chandler,"(on the phone) ""look, this is ridiculous! i'm not paying for that room! ok?"" (pause) ""oh, thank you very much!"" (hangs up) yeah, i'm going to vermont..."
ross,"oh, don't worry about it! just use your travel insurance."
chandler,i don't have travel insurance.
ross,"well, this is what happens when people live on the edge!"
monica,why don't you take ross?
chandler,hey! ready to go?
ross,"oh yeah, let me just finish this."
joey,"hey ross, check this out! (he tries to spin a basketball on his fingertip but he throws it against a table) yeah, i can't do that!"
chandler,what are you doin'?
ross,"have you seen this? it's a new alumni website for college! it's cool! you can post messages for people, let everyone know what you're up to."
chandler,"great, a faster way to tell people that i'm unemployed and childless ."
chandler,how about the dinosaur twins in the other room? no-one is manning that wall!
monica,i'm on it!
chandler,anything?
monica,i think i hear curtains closing...
phoebe,we've got shoes being kicked off over here.
monica,"bedsprings, unmistakable!"
chandler,you do realise that's your brother?
monica,"not until you said it. somebody switch! (chandler makes a clicking sound with his fingers and phoebe runs to the other wall. monica returns to chandlers wall.) wait a minute... ross and charlie, joey and rachel, phoebe and mike! we're the only people leaving with the same person we came with."
chandler,that's not true. i came with monica and i'm leaving with weird al.
monica,"okay, i've had it with the hair jokes. tomorrow morning, before we leave, i'm going to the salon."
chandler,okay buckwheat!
chandler,did you see our bank statement? could this be right?
monica,i know...god. i haven't seen my savings take a hit like this since i was a kid and they came up with double-stuffed oreos. what happened to all our money?
chandler,i'm not sure what they did...but i'm inclined to blame ***
monica,"i guess with you doing the internship, we're spending more than we're bringing in."
joey,"yeah, i didn't throw any of that out.."
ross,"i thought i heard voices! hi charlie! (kisses her.) hi joey. (hugs him.) and.. oh! you're gonna have to introduce me to your new girlfriend. (laughs.) i'm just kidding, i know rachel, i know. (he squeezes her hand.) come, please come in. come in."
rachel,"okay, well, we brought you some wine."
ross,oh! that is so thoughtful. (to joey.) she's a keeper. and what did you bring me? (grabs the bag that charlie brought for joey.)
joey,"uh, actually, that's.."
ross,"underwear, a toothbrush, and van halen cd. i can use all these things!!"
ross,what? fine? because i am! aren't you? aren't you? aren't you? you see? who else is fine?
joey,"okay, listen, hey, ross. why don't you try to relax, okay? maybe have a drink."
ross,you know what? that is a very good idea. i'm gonna go make a pitcher of margaritas.
phoebe,"oh, god. so adorable. look at them sleeping there like angels."
rachel,do you think it's possible for two friends to fool around and... and not have it be a big deal?
monica,"no, i don't think it ever works. why?"
rachel,no reason.
monica,"no, no, rachel?"
rachel,yeah
monica,who do you wanna fool around with?
rachel,"(with high pitched voice) nobody, forget it!"
rachel,(giggling and whispering) maybe.
monica,(whispering) you can't!
rachel,"(whispering) why? (monica gesticulates mumbling something that starts with ""because"") seriously i did not understand a word that you said."
monica,in the hall.
monica,hi.
monica,ok.
chandler,"oh, damn it!"
monica,"don't worry, after a while he'll tune it out."
monica,(long pause) ok.
chandler,"is that a hint? because we love you doctor connelly but we don't think we'd want you to be our child! (dr. connelly glares at him) wow, talking about an inhospitable environment!"
rachel,"hi! ok, you're ready to go pick up phoebe and go shopping?"
joey,"(to charlie) alright, have a good time. (they kiss)"
rachel,not gonna find any clothes in there!
ross,"(entering) hey, you guys!"
rachel,hi.
ross,guess who's up for keynote speaker at the national paleontology conference?
monica,yeah. (they kiss) what d'you wanna do tonight?
chandler,"oh, well... maybe we could... (he sweeps the stuff off the table and wordlessly invites monica to have sex on it)"
monica,"ok, trying to turn me on by making a mess? know your audience! besides, tomorrow we're doing those fertility tests and until then you need to keep your tadpoles in the tank."
chandler,we really need to take those tests?
monica,"honey, we've been trying to have a baby for over a year. i think it's a good idea to find out if everything's ok. just a few routine tests."
chandler,but i don't wanna do it in a cup!
monica,what is the big deal?
chandler,it's weird! in a doctor's office?
monica,it's not ok to do it in a doctor's office but it is ok to do it in a parked car behind a taco bell?
chandler,"(embarrassed) i cannot believe ross told you that! (pause) and in my defense, it was a wendy's!"
monica,"look, i don't wanna do this test either, but i really do think it's a good idea!"
ross,i went to that tanning place your wife suggested.
chandler,was that place... the sun?
ross,"oh! and it gets worse! (turns his side to chandler and monica and pulls up his shirt. there's a distinct line across his body, where his belly is very tanned and his back is very pale.)"
chandler,oh my god! you can do a duet of ebony and ivory all by yourself!
monica,"how could you mess this up? it's so easy? you go into the booth, you count to five and you turn around!!"
ross,(looks at her suspiciously) how do you count to five?
monica,one two three...
ross,"(yells) damnit! (goes to the door to leave. rachel just enters, sees him and starts laughing)"
rachel,(laughing) oooh! oh oh!
ross,(still yelling) i know!
rachel,oh oh! what is up with miss hawaiian tropic?
chandler,how was your date with joey?
chandler,hey!
joey,hey!
joey,where’s monica?
chandler,oh she’s at home putting up decoration for rachel’s birthday party tonight.
joey,and you are not helping?
chandler,"i try, but…apparently singing “i will survive” in a helium voice, not helping."
chandler,hey!
ross,yeah! yeah! ok! sure! look! can we...can we talk about what happened here last night?
chandler,sure! just give me a second to get all huffy and weird like you! do you believe that who ever
ross,ok you...you really don't know what i am talking about?
ross,no thanks!
phoebe,you don't wanna win the lottery?
ross,"(in a mocking voice)uh...sure i do, and i also wanna be king of my own country and find out what happened to amelia earhart."
chandler,still on amelia earhart?
ross,the woman just vanished!
joey,"seriously, ross, you don't want in on this?"
ross,no! do you know what your odds are of winning the lottery? i...i mean you have a better chance of being struck by lightning 42 times.
chandler,yes but there's six of us so we'd only have to get struck by lightning 7 times.
joey,i like those odds!
ross,"seriously you guys, i can't believe you're going to spend 250 dollars on the lottery, i mean that's such a bunch of boohaki."
chandler,(looking around at the others)i'll ask. (to ross) boohaki?
ross,"oh oh, we think emma is about to start talking so we're trying to be careful about what words we use in front of her."
ross,"uh, don't you think that would be a little weird? i mean, two guys in a romantic inn..."
monica,"no, not if their room has two beds!"
ross,(browsing the brochure) i guess...it still seems a little...(enthusiastically) moonlight boat ride!!
rachel,"hey joey, is this the bed where olivia lost her virginity?"
joey,"i don't know, but one of the extras sure did! (pause) hey, listen rach. thanks again for coming down to watch my scenes!"
rachel,"oh, please!honey, just the fact that you want me here to support you, i'm...oh my god!is that christian sanders?he's so gorgeous!"
joey,also so gay!
rachel,"oh, in my head he's done some pretty ""not-gay-stuff""!"
joey,"well, at the christmas party him and santa did some definitely gay stuff!"
joey,"oh, wish me luck!"
rachel,"ok, not that you need it but good...god!is that chase lassiter?he's straight, right?"
ross,it's actually kinda interesting to find out what people are doing... remember andrea rich?
chandler,the tall girl who wouldn't sleep with you?
ross,"uh uh... well, her internet company went under and she lost an ear in a boating accident..."
chandler,bet she'd sleep with you now...
ross,no... i already e-mailed her.
chandler,"let me see what you wrote about yourself: ""doctor paleontology, two kids... "" (pause) you split with carol because you have different interests?... i think you split with carol because you've one very similar interest!"
ross,"you know what? i'm gonna finish this later, ok? let me just grab my coat."
joey,hey! (he throws the basketball against a table again)
ross,(he picks up the ball) what do you think you learnt how to do in the last two minutes?? (he enters another room)
chandler,"maybe we finish this for him! (he sits down on the sofa and he start typing on ross' computer) ""also i cloned a dinosaur in my lab. she's now my girlfriend. i don't care what society says. it's the best sex i've ever had""... aaand send!"
joey,"(he stops chandler from posting the message) no, no, no... what do... you can't do that to him!"
ross,"(he comes back) alright, let's go!"
joey,dude! (he opens his arms to receive the ball from ross' hands)
phoebe,"you gotta hear this, it's great... it's like free porn! (chandler eagerly rushes over)"
ross,weh...*sigh*
ross,"yeah, it's just... i don't think i can do this..."
ross,"no, no! (they're moving to the side of the bed, where they sit down) look, i need to talk to joey. i mean, you guys just broke up. before anything more happens between us, i need to know he's okay with it."
ross,"alright, i'm gonna go find them... (twitches a bit, looks down) i just need a... need a before i can... you know. (gestures standing up... they sit and wait for a while) grandma... grandma... grandma... (he tries to concentrate...) okay, i see you later."
phoebe,that's the door. he's gone...
chandler,and she's... turning on the tv... and watching... miss congeniality!
monica,"honey, if you know it through a wall, you know it too well!"
ross,"hey, what are you guys doing?"
phoebe,"oh, we're just... we're sad to go so we're just saying goodbye to the hotel. (hugs the wall) i love you... paradise hotel, golf resort and spa... (she walks away from the wall)"
monica,"(also hugs the wall) yeah, we had a great time, thank you! (walks to phoebe)"
chandler,maybe i should quit and get a job that pays.
monica,oh...but you're finally doing something that you love! i can't ask you to give that up. though it'd be nice if the thing that you love was..y'know..finding gold
chandler,you know what? you know what? i think we're making too big a deal out of this. ok? so we pay our bills a little late this month. and maybe next month we cut back on a few things. and maybe we start eating out of joey's refridgerator for a change. you're chef..what can you make out of bacon soda and beer?
monica,ok worse case scenario is...we borrow some money from my parents.
chandler,no! we're not borrowing money.
monica,why not?
chandler,because we don't do that. we are bings! and if there's one thing my father taught me was...well to always knock before going into the poolhouse...but the other thing was...never borrow money.
phoebe,"well, they may be a handful, but they're so cute."
phoebe,"oh, god, the last time i babysat them, they did the funniest thing.."
phoebe,"that's a, that's a long time."
phoebe,"yeah, i know, frank. i counted them when they were coming out of my area."
phoebe,what?
phoebe,"oh my god, frank, are you thinking of leaving? because i didn't have those triplets so you could just run out on them!"
phoebe,what?! you can't separate them! that's terrible. which one?
monica,you wanna fool around with joey?
