person,dialogue
phoebe,Oh... then I overpaid. (she goes to the bathroom)
monica,"Hey, what's this?"
rachel,"Oh, it's a gift certificate to this new SPA in SOHO."
monica,"Oh, you can't show Phoebe this! She hates those corporate massage chains."
rachel,"Ah, why, now I can't get a massage? There are so many things that she disapproves of! I can't eat veal, I can't wear fur, I can't go hunting..."
monica,Do you wanna go hunting?
rachel,"Well, I would like to have the option!!"
phoebe,"(coming back from the bathroom) What's up? (she sees the gift certificate in Rachel's hands) Hey, Rachel!!"
rachel,Oh!
phoebe,"No, you can't go there! You know how I feel about these ""big massage places""! They're putting people like me out of business!"
monica,"And she wants to go hunting, too!!"
rachel,"Phoebe, come on, I don't wanna waste it! It would be like throwing away a hundred bucks!"
chandler,(to Amanda) I get pedicures!
monica,"Hi Amanda! Actually now... it’s... is not a good time. Dinner tomorrow night? (Phoebe mouths 'no') Ok, Phoebe and I will see you then!"
phoebe,"Why, why, why didn’t you just say no!"
monica,"Well, I said 'no' to her coming over now! I couldn’t say 'no' twice! I get this uncontrollable need to please people!"
phoebe,"(leaving) Fine, fine! You would not hold up well under torture!"
monica,And you would?
phoebe,I did!
rachel,"Absolutely! Absolutely. I d... it’s just a little weird, it’s you, and it’s me, it's just gonna take some getting used to."
joey,"Ok. Well, how, how can we make it easier?"
rachel,"Ok, let’s work from the top down! (Joey nods, but then puzzled because he does not get it) Just work the bra, Joe!"
joey,"Ok, yeah, got it."
joey,This thing welded shut?!
joey,"Monica, hey, can I borrow the Porsche?"
monica,Ok.
joey,Alright!
monica,But ehm...what is it not?
joey,(abashed) A place to entertain my lady friends.
monica,And what else is it not?
joey,(even more abashed) A place to eat spaghetti.
monica,"So, do you guys wanna come and eat dinner at the restaurant sometime in the next few weeks?"
phoebe,Sure!
ross,I'd love to!
monica,Well you can't! We're booked solid for the next month!
phoebe,"Well, I can't give you a massage, because my licence has been revoked again!"
ross,"Phoebe, what happened?"
phoebe,"Well, it was an accident...You know, it's a lot of oil and sometimes the hand just slips!"
chandler,(To Monica) Have I got a surprise for you? Pack your bags!
phoebe,Oh no!You guys aren't supposed to get divorced for 7 years!
chandler,"What? No, I'm taking Monica to a romantic inn in Vermont (shows them a brochure)!"
phoebe,"Oh, good!Ok, good for you!Try to recapture the magic!"
chandler,"So, what do you say? Can you get out of work?"
monica,What?
phoebe,Get over here!
rachel,ooh...
chandler,Wow!
monica,"(in her Monica-excited-way... TOO LOUD!) Oh my God, I love how thin these walls are!"
monica,(muffled) Thank you.
rachel,"Hey, you know, before you said that nothing could happen between us? What changed?"
joey,"Well, I only said that because of Ross, you know. Then I saw him kissing Charlie..."
rachel,"What? Ross and Charlie? (Joey nods) Wow! She's really making her way through the group, huh? Ah, who am I to talk?"
monica,I can't believe this. Rachel and Joey?
monica,Which one is which again?
joey,"Ah, can I just say I know we're doing this for Ross, and that's cool, but if it was up to me, this is not what we'd be doing on our first date."
rachel,"Well, what would we be doing?"
joey,"I'd take you out for a romantic night. Some champagne, fancy dinner, feel you up on the carriage ride home..."
rachel,Feel me up?
joey,In a carriage!
joey,"Hey, Charlie!"
rachel,Hey.
rachel,"Oh, you bet."
joey,"So, did you bring a little something for Ross?"
joey,"Oh. Oh, thanks."
joey,"It's a one-woman play called ""Why don't you like me: a bitter woman's journey through life""."
monica,It sounds interesting!
ross,"Yeah, it does sound interesting, I mean, to listen to a woman complain for two hours, I don't think it gets bett... (Ross starts snoring, faking to fall asleep)"
phoebe,"I know, I know, we can drive, we can vote, we can work, what more do these broads want?"
joey,"You guys are gonna have a great time, I promise!"
ross,What? How come that you don't have to go!
joey,"I wish I could but I just found out that I have to be at work really early the next day, so I can't go, but, you know, take the extra ticket and invite whoever you want."
chandler,"(browsing through a diary) Uh, let's see, who do I hate?"
rachel,"(gets up from the sofa and moves to the kitchen but Joey blocks her way) Oh, sorry... Oops, sorry."
joey,"(lifts Rachel up and moves her behind him so she can walk on) Hey, here you go."
rachel,"Ooh... oooh... (pause) (Rachel is all bah-jiggity about Joey) oh, ah... (pause) (to Monica) Can I ask you a question?"
monica,Yeah.
rachel,And you're gonna want him to eat his heart out so you're gonna have to look fabulous!
phoebe,"(after a short pause) I didn't even think about that! (pause) Aaargh, sexual politics!!"
rachel,"Hey Pheebs, I'm-I'm taking Charlie shopping, why don't you come and I'll help you find something."
phoebe,"Ok, that'll be great!"
joey,"Oh, ain't that nice? The three of you trying on slutty lingerie together."
rachel,That's not what we're gonna do!
joey,"Why would you ruin it, who was that hurtin'?"
chandler,(looking at the picture of the female reproductive system) Wow! Fortunately she has a very pretty face!
monica,"Oh, I so can't believe this! My uterus is an inhospitable environment? I was trying so hard to be a good hostess!"
chandler,"Oh, I can't believe my sperm have low motility because, let me tell you, when I was growing up they sure seem to be in a hurry to get places!!"
chandler,Hi.
phoebe,"Ok, this is not about the MONEY, ok? It's about... it's about corporate greed destroying our hearts and leaving us... the hollow shells."
rachel,I don't care about any of that!!
phoebe,"Well, do you care about friendship?"
rachel,Oh!
phoebe,"I feel really strongly about this, Rachel. Please, don't use this gift certificate. I'm asking you as a friend."
rachel,"Oh, not as a friend, Phoebe!! Fine, I won't use it!"
phoebe,Promise?
rachel,I promise.
phoebe,Thank you. (she tears up the gift certificate)
rachel,But I am going hunting!!
monica,(entering) Hey honey! I missed you today!
chandler,"Oh, yeah?"
rachel,Okay.
joey,"All right, turn around, I got to get a look at this thing."
rachel,Oh!
rachel,Ow!
joey,Sorry!
rachel,Well this is romantic!
joey,"I'm sorry! (He stands up) This never happened to me before! I'm an expert at taking off bras! I can do it with one hand! I can do it with my eyes closed! One time I just looked at one, and it popped open! I blame your bra!"
rachel,It’s a standard issue bra clasp!
joey,Then I blame you! Yeah! That's right! You threw me off with all your slapping!
rachel,"Ok well, well I'm really, I'm sorry about that Joey, but do you think that maybe on some level, you don't want to take off my bra?"
joey,(contemplates for a few moments what Rachel just said) NAH! I don't have another level!!
chandler,Hold on! There is something different.
monica,Very good! (Gives him the keys) What do you need it for anyway?
joey,"Oh well, the powerball lottery is upto 300 million and they don't sell tickets here in New York, so..."
rachel,Oh! So you're driving up to Connecticut?
joey,(hesitates for a moment)Yeah Connecticut...Not West Virginia.
monica,"Hey, maybe I'll drive you up there! I'd like to buy some tickets myself!"
joey,Uh!
monica,"Yeah with Chandler not getting paid, we could really use 300 million dollars."
chandler,"Yeah, because if I was at my old job we'd say 300 million? No thank you!"
phoebe,Hey will you get me tickets too?
rachel,"Yeah me too. oh! I have an idea. Why don't we all pitch in 50 bucks, we'll pool our money together and then if we win, we'll split it!"
monica,"Oh, honey!I can't. I was just telling these guys that things are crazy at the restaurant!"
chandler,Are you really that busy?
monica,"Yeah, I'm sorry. I really am."
chandler,"Oh, that's ok.I'll just try and reschedule. (on the phone) ""Hi, this is Chandler Bing. I made a reservation there and I need to change it (pause) Oh, what do you mean it's not refundable? Can I just come some other time? (pause) Oh, can't you make an exception?"""
monica,Tell them I'm a chef in a big New York restaurant!
phoebe,And tell them that in 2 weeks I will once again be a masseuse in good standing!
chandler,"(on the phone) ""Look, this is ridiculous! I'm not paying for that room! Ok?"" (pause) ""Oh, thank you very much!"" (hangs up) Yeah, I'm going to Vermont..."
ross,"Oh, don't worry about it! Just use your travel insurance."
chandler,I don't have travel insurance.
ross,"Well, this is what happens when people live on the edge!"
monica,Why don't you take Ross?
chandler,Hey! Ready to go?
ross,"Oh yeah, let me just finish this."
joey,"Hey Ross, check this out! (he tries to spin a basketball on his fingertip but he throws it against a table) yeah, I can't do that!"
chandler,What are you doin'?
ross,"Have you seen this? It's a new alumni website for college! It's cool! You can post messages for people, let everyone know what you're up to."
chandler,"Great, a faster way to tell people that I'm unemployed and childless ."
chandler,How about the dinosaur twins in the other room? No-one is manning that wall!
monica,I'm on it!
chandler,Anything?
monica,I think I hear curtains closing...
phoebe,We've got shoes being kicked off over here.
monica,"Bedsprings, unmistakable!"
chandler,You do realise that's your brother?
monica,"Not until you said it. Somebody switch! (Chandler makes a clicking sound with his fingers and Phoebe runs to the other wall. Monica returns to Chandlers wall.) Wait a minute... Ross and Charlie, Joey and Rachel, Phoebe and Mike! We're the only people leaving with the same person we came with."
chandler,That's not true. I came with Monica and I'm leaving with Weird Al.
monica,"Okay, I've had it with the hair jokes. Tomorrow morning, before we leave, I'm going to the salon."
chandler,Okay Buckwheat!
chandler,Did you see our bank statement? Could this be right?
monica,I know...God. I haven't seen my savings take a hit like this since i was a kid and they came up with double-stuffed Oreos. What happened to all our money?
chandler,I'm not sure what they did...but I'm inclined to blame ***
monica,"I guess with you doing the internship, we're spending more than we're bringing in."
joey,"Yeah, I didn't throw any of that out.."
ross,"I thought I heard voices! Hi Charlie! (Kisses her.) Hi Joey. (Hugs him.) And.. Oh! You're gonna have to introduce me to your new girlfriend. (Laughs.) I'm just kidding, I know Rachel, I know. (He squeezes her hand.) Come, please come in. Come in."
rachel,"Okay, well, we brought you some wine."
ross,Oh! That is so thoughtful. (To Joey.) She's a keeper. And what did you bring me? (Grabs the bag that Charlie brought for Joey.)
joey,"Uh, actually, that's.."
ross,"Underwear, a toothbrush, and Van Halen CD. I can use all these things!!"
ross,What? Fine? Because I am! Aren't you? Aren't you? Aren't you? You see? Who else is fine?
joey,"Okay, listen, hey, Ross. Why don't you try to relax, okay? Maybe have a drink."
ross,You know what? That is a very good idea. I'm gonna go make a pitcher of Margaritas.
phoebe,"Oh, god. So adorable. Look at them sleeping there like angels."
rachel,Do you think it's possible for two friends to fool around and... and not have it be a big deal?
monica,"No, I don't think it ever works. Why?"
rachel,No reason.
monica,"No, no, Rachel?"
rachel,Yeah
monica,Who do you wanna fool around with?
rachel,"(with high pitched voice) Nobody, forget it!"
rachel,(giggling and whispering) Maybe.
monica,(whispering) You can't!
rachel,"(whispering) Why? (Monica gesticulates mumbling something that starts with ""because"") Seriously I did not understand a word that you said."
monica,In the hall.
monica,Hi.
monica,Ok.
chandler,"Oh, DAMN IT!"
monica,"Don't worry, after a while he'll tune it out."
monica,(long pause) Ok.
chandler,"Is that a hint? Because we love you Doctor Connelly but we don't think we'd want you to be our child! (Dr. Connelly glares at him) Wow, talking about an inhospitable environment!"
rachel,"Hi! Ok, you're ready to go pick up Phoebe and go shopping?"
joey,"(to Charlie) Alright, have a good time. (they kiss)"
rachel,Not gonna find any clothes in there!
ross,"(entering) Hey, you guys!"
rachel,Hi.
ross,Guess who's up for keynote speaker at the National Paleontology Conference?
monica,Yeah. (they kiss) What d'you wanna do tonight?
chandler,"Oh, well... Maybe we could... (he sweeps the stuff off the table and wordlessly invites Monica to have sex on it)"
monica,"Ok, trying to turn me on by making a mess? Know your audience! Besides, tomorrow we're doing those fertility tests and until then you need to keep your tadpoles in the tank."
chandler,We really need to take those tests?
monica,"Honey, we've been trying to have a baby for over a year. I think it's a good idea to find out if everything's ok. Just a few routine tests."
chandler,But I don't wanna do it in a cup!
monica,What is the big deal?
chandler,It's weird! In a doctor's office?
monica,It's not ok to do it in a doctor's office but it is ok to do it in a parked car behind a Taco Bell?
chandler,"(embarrassed) I cannot believe Ross told you that! (pause) And in my defense, it was a Wendy's!"
monica,"Look, I don't wanna do this test either, but I really do think it's a good idea!"
ross,I went to that tanning place your wife suggested.
chandler,Was that place... The Sun?
ross,"Oh! And it gets worse! (Turns his side to Chandler and Monica and pulls up his shirt. There's a distinct line across his body, where his belly is very tanned and his back is very pale.)"
chandler,Oh My God! You can do a duet of Ebony and Ivory all by yourself!
monica,"How could you mess this up? It's so easy? You go into the booth, you count to five and you turn around!!"
ross,(looks at her suspiciously) How do you count to five?
monica,One Two Three...
ross,"(Yells) Damnit! (Goes to the door to leave. Rachel just enters, sees him and starts laughing)"
rachel,(laughing) oooh! Oh oh!
ross,(Still yelling) I Know!
rachel,oh oh! What is up with Miss Hawaiian Tropic?
chandler,How was your date with Joey?
chandler,Hey!
joey,Hey!
joey,Where’s Monica?
chandler,Oh she’s at home putting up decoration for Rachel’s birthday party tonight.
joey,And you are not helping?
chandler,"I try, but…apparently singing “I will survive” in a helium voice, not helping."
chandler,Hey!
ross,Yeah! Yeah! OK! Sure! Look! Can we...can we talk about what happened here last night?
chandler,Sure! Just give me a second to get all huffy and weird like you! Do you believe that who ever
ross,OK you...you really don't know what I am talking about?
ross,No thanks!
phoebe,You don't wanna win the lottery?
ross,"(in a mocking voice)Uh...sure I do, and I also wanna be King of my own country and find out what happened to Amelia Earhart."
chandler,Still on Amelia Earhart?
ross,The woman just vanished!
joey,"Seriously, Ross, you don't want in on this?"
ross,No! Do you know what your odds are of winning the lottery? I...I mean you have a better chance of being struck by lightning 42 times.
chandler,Yes but there's six of us so we'd only have to get struck by lightning 7 times.
joey,I like those odds!
ross,"Seriously you guys, I can't believe you're going to spend 250 dollars on the lottery, I mean that's such a bunch of boohaki."
chandler,(looking around at the others)I'll ask. (To Ross) Boohaki?
ross,"Oh oh, we think Emma is about to start talking so we're trying to be careful about what words we use in front of her."
ross,"Uh, don't you think that would be a little weird? I mean, two guys in a romantic inn..."
monica,"No, not if their room has two beds!"
ross,(browsing the brochure) I guess...It still seems a little...(enthusiastically) moonlight boat ride!!
rachel,"Hey Joey, is this the bed where Olivia lost her virginity?"
joey,"I don't know, but one of the extras sure did! (pause) Hey, listen Rach. Thanks again for coming down to watch my scenes!"
rachel,"Oh, please!Honey, just the fact that you want me here to support you, I'm...OH MY GOD!Is that Christian Sanders?He's so gorgeous!"
joey,Also so gay!
rachel,"Oh, in my head he's done some pretty ""not-gay-stuff""!"
joey,"Well, at the Christmas party him and Santa did some definitely gay stuff!"
joey,"Oh, wish me luck!"
rachel,"Ok, not that you need it but good...GOD!Is that Chase Lassiter?He's straight, right?"
ross,It's actually kinda interesting to find out what people are doing... remember Andrea Rich?
chandler,The tall girl who wouldn't sleep with you?
ross,"Uh uh... well, her Internet Company went under and she lost an ear in a boating accident..."
chandler,Bet she'd sleep with you now...
ross,No... I already e-mailed her.
chandler,"Let me see what you wrote about yourself: ""Doctor Paleontology, two kids... "" (pause) You split with Carol because you have different interests?... I think you split with Carol because you've one very similar interest!"
ross,"You know what? I'm gonna finish this later, ok? Let me just grab my coat."
joey,Hey! (he throws the basketball against a table again)
ross,(he picks up the ball) What do you think you learnt how to do in the last two minutes?? (he enters another room)
chandler,"Maybe we finish this for him! (he sits down on the sofa and he start typing on Ross' computer) ""Also I cloned a dinosaur in my lab. She's now my girlfriend. I don't care what society says. It's the best sex I've ever had""... aaand SEND!"
joey,"(he stops Chandler from posting the message) No, no, no... what do... you can't do that to him!"
ross,"(he comes back) Alright, let's go!"
joey,Dude! (he opens his arms to receive the ball from Ross' hands)
phoebe,"You gotta hear this, it's great... It's like free porn! (Chandler eagerly rushes over)"
ross,Weh...*sigh*
ross,"Yeah, It's just... I don't think I can do this..."
ross,"No, NO! (they're moving to the side of the bed, where they sit down) Look, I need to talk to Joey. I mean, you guys just broke up. Before anything more happens between us, I need to know he's okay with it."
